진료과,질문,답변,원본파일
피부과,"강아지의 생식기 피부에 빨갛게 상처처럼 보이는 부분이 있습니다. 이 증상은 이전부터 있었지만, 오늘 갑자기 핥기 시작하며 부풀어 올랐습니다. 이 상황이 어떤 문제인지, 피부염일 가능성이 있는지 여쭙고 싶습니다. 예전에 처방받은 귀 소독약을 사용하여 소독해도 괜찮은지, 그리고 간지러움으로 인해 넥칼라를 착용하고 있는 상태입니다. 강아지는 중성화된 12세의 암컷입니다.","강아지의 생식기에서 발생하는 발진이나 발적은 일반적으로 피부염일 가능성이 매우 큽니다. 아울러 귀 소독약은 귀 부위에만 사용해야 하는 점을 주의하시기 바랍니다. 만약 강아지가 소양감으로 인해 생식기를 계속 핥게 된다면, 핥는 행위가 더욱 심한 가려움을 유발할 수 있으므로 넥칼라를 착용하는 것은 바람직한 조치입니다. 소양감과 피부 발적의 원인을 규명하고 적절한 치료를 위해 가까운 동물병원에 내원하여 전문적인 진료를 받으시길 권장합니다.",/9d805beb-f03e-11ef-9b72-010101010000.json
피부과,"저희 강아지는 1살 된 중성화된 암컷 말티푸입니다. 최근 귀 안쪽에 각질이 형성되었고, 식욕과 활동성이 좋습니다. 귀와 피부가 접하는 부분에 약간의 흰색 각질이 나타났으며, 비듬처럼 털에 묻어 있는 것을 눈꼽빗으로 약간 제거해 주었습니다. 현재 다른 특별한 증상은 보이지 않고, 다음 재진 일정인 27일에 다시 검진할 예정입니다. 제가 전달받은 바에 따르면, 귀의 각질을 억지로 뜯어내거나 힘을 주어 제거할 필요는 없다고 하였습니다.","귀 안쪽에 각질이 발생하였고, 피부와 연결된 부위에 흰색 각질이 관찰되며, 식욕과 일반적인 활동성은 매우 양호한 상태로 유지되고 있다고 말씀드리겠습니다. 비듬처럼 보이는 각질이 강아지의 털에 묻어 있었으며, 이미 눈꼽빗을 사용하여 일정 부분 제거한 것으로 확인되었습니다. 현재로서는 큰 이상 징후가 발견되지 않고 있으나, 귀의 각질이나 비듬은 알레르기, 피부 질환, 기생충 등 다양한 원인으로 발생할 수 있는 문제입니다. 따라서 다음 재진 시 귀 상태를 좀 더 자세히 평가하여, 필요 시 적절한 치료나 관리 방안을 결정하는 것이 중요하다고 생각합니다. 당장 강아지가 다른 증상 없이 잘 지내고 있기에 큰 문제가 있을 가능성은 낮지만, 지속적인 관찰과 정기적인 검진을 권장드립니다.",/a438a83b-f03e-11ef-9917-010101010000.json
피부과,"강아지의 등에 이상이 발생하였는데, 이 상황이 종양일 가능성이 있는지 궁금합니다. 약 4-5년 전에도 유사한 혹이 발견되어 수의사의 도움으로 제거한 경험이 있습니다. 당시 수의사는 이 혹이 제거하더라도 다시 자라날 것이 라는 설명을 하였고, 그 후로는 그렇게 되겠거니 하고 지냈습니다. 하지만 시간이 지나면서 점점 커지고, 검은 반점이 생기며, 색깔 또한 거무죽죽한 혹으로 변모하였습니다. 정기 건강검진을 우려했으나 이상 징후는 발견되지 않았고, 강아지도 아파하지 않아 크게 걱정하지 않았습니다. 그런데 오늘 갑자기 강아지를 살펴보니 그 부위가 붉어지고 출혈이 발생하였습니다. 이 혹이 종양일까요? 재발 예방 습관에서 놓치기 쉬운 부분을 짚어 주실 수 있을까요 중복 없이 정리해 주세요. 목욕과 보습을 일상 루틴에 넣으려면 어떻게 시작하면 좋을까요? 목욕제 선택의 우선순위를 정하는 기준을 알려 주세요 요점 위주로 설명해 주세요. 산책 루틴 조절의 우선순위를 정하는 기준을 알려 주세요 실행 순서로 알려 주세요. 간식 선택 원칙을 바로 적용할 수 있게 순서를 정리해 주세요. 진단 후 관리 계획을 짧게 요약해 주실 수 있을까요 쉽게 따라 할 수 있게 설명해 주세요. 다른 질환과 의 감별 기준에서 초보 보호자가 주의할 점이 있을까요 핵심만 부탁드립니다. 항염 외용제 사용에서 놓치기 쉬운 부분을 짚어 주실 수 있을까요 바로 실천할 수 있게 정리해 주세요. 경과 사진 남기는 법에서 초보 보호자가 주의할 점이 있을까요 바로 실천할 수 있게 정리해 주세요.","현재 제공된 정보만으로는 정확한 진단을 내리기에 다소 부족한 상황입니다. 늘 갑자기 출혈이 발생했다는 것은 해당 혹에 문제가 생겼다는 명확한 신호입니다. 관찰하신 바에 따르면, 이 혹은 표피낭종일 가능성이 높습니다. 만약 치료를 진행하지 않고 방치할 경우 염증이 생기고 출혈이 지속되면서 혹이 점점 더 커질 수 있습니다. 따라서, 가까운 동물병원에서 보다 명확한 진단을 받고 적절한 대응 조치를 취하는 것이 중요하다고 말씀드릴 수 있습니다. 가정 내 관리는 과도하지 않게 기록을 남기며 진행해 주시고, 필요하면 계획을 조정해 주세요. 사전 관리는 자극이 없도록 이어가 주세요, 증상 강도 변화를 간단히 기록해 주세요. 기본 관리는 과하지 않게 변화에 맞춰 조절해 주세요, 처방 용량과 간격은 꼭 지켜 주세요.",/a2450ffd-f03e-11ef-82dc-010101010000.json
피부과,"강아지가 최근에 꼬리를 자주 핥거나 그 부분을 신경 쓰는 것 같아서 살펴보니, 꼬리뼈 쪽에 상처가 난 것 같았어요. 처음에는 그냥 간단한 긁힘인 줄 알았는데, 털이 길어서 상처가 있는지 몰랐던 것 같아요. 이 상처가 오래되었을 수도 있는 거죠? 상처가 감염되지 않고 이미 아물었다면 큰 문제가 아닐 수도 있지만, 그래도 추후에 문제가 생길 수 있다는 점이 걱정입니다. 병원에 가서 체크를 받는 것이 좋다고 하셨는데, 이런 상처가 다시 문제를 일으킬 가능성은 얼마나 될까요?","말씀하신 내용으로 예상할 때 꼬리뼈에 문제가 발생했을 가능성이 높습니다. 상처가 오래전에 발생하고, 털이 길어져서 발견하지 못했을 가능성도 충분합니다. 만약 감염이 진행되지 않고 상처가 이미 아물었다면 큰 걱정은 하지 않으셔도 될 것입니다. 그러나 추후 병원에 내원하실 때에는 향후 발생할 수 있는 문제에 대해 반드시 체크를 받으시기를 권해 드립니다.",/a37286a0-f03e-11ef-935a-010101010000.json
피부과,"강아지의 귀에서 출혈이 발생하고 있으며, 동시에 머리를 자주 털고 있습니다. 원래부터 귀를 자주 긁거나 발을 입으로 물어주는 행동을 보이기는 하였으나, 며칠 전부터 귀를 더욱 빈번하게 긁고 머리를 반복적으로 털고 있는 모습을 관찰하였습니다. 귀 청소도 실시하고 귀 자체를 면밀히 살펴보았으나 외부적으로는 특별한 이상이 발견되지 않았습니다. 그러나 면봉으로 부드럽게 닦아보았더니 귀에서 조금의 출혈이 나타났습니다. 출혈량이 그리 많지는 않아 다소 안심이 되기는 하지만, 자주 머리를 털고 있는 행동이 신경 쓰입니다. 병원에 데리고 갈 시간이 주말 쯤에나 가능할 것 같은데, 이로 인해 걱정이 됩니다.","귀에서 출혈이 발생할 정도라면, 이 상황이 가벼운 상태가 아님을 의미하며, 귀를 가려워하는 강아지가 머리를 세게 털거나 발로 귀를 긁는 행동을 보이는 경우가 많습니다. 현재의 증상은 중등도 이상의 외이염을 의심할 수 있는 상황입니다. 반드시 동물병원에 내원하시어 필요한 검사를 받으시고, 적절한 치료와 내복약을 처방받으시기를 권장합니다. 동물병원 방문 전에는 귀에서 발생한 출혈이나 삼출물을 부드럽게 닦아주시는 것이 좋습니다. 또한, 목욕 후 귀를 충분히 말려주시면 외이염을 예방하는 데 도움이 될 것입니다. 빠른 쾌유를 바랍니다.",/a072afce-f03e-11ef-b052-010101010000.json
내과,"저희 강아지가 짖을 때마다 기침을 하는 증상을 보입니다. 현재 8세인 토이푸들인데, 짖고 난 뒤에는 항상 쿨럭거리는 기침을 하고 있습니다. 혹시 그런 증상이 나타나는 이유가 무엇일까요? 그 강아지가 어떤 질환을 앓고 있는 것인지 알고 싶습니다.","짖을 때마다 기침을 하는 증상은 기관 협착, 심장 질환, 또는 만성 기관지염과 같은 호흡기 문제일 가능성이 높습니다. 특히 짖는 행위는 기도를 자극하고 압력을 증가시켜 기존에 좁아진 기관이나 약해진 심장 기능에 부담을 줄 수 있습니다. 정확한 원인 진단 및 치료 계획 수립을 위해 동물병원에 내원하셔서 신체검사, 흉부 방사선 촬영, 심장 검사 등을 받아보시는 것이 중요합니다.",/9f9abd65-f03e-11ef-a5ef-010101010000.json
내과,"저희 강아지의 허벅지와 엉덩이 부분에 작은 사마귀들이 발견되었는데, 특정한 증상이 나타나지는 않으며 아프거나 불편해하는 기색도 보이지 않습니다. 이러한 경우, 어떤 원인으로 인해 문제가 발생한 것인지 궁금합니다. 병원에 데려가 야 할 필요성이 있을까요?","현재로서는 육안으로 확인할 수 있는 것으로 정보에 한계가 있으나, 일반적으로 나타나는 증상으로 미루어 보아 유두종과 같은 피부 종양일 가능성이 상당히 높습니다. 이러한 상태를 방치하게 되면 종양이 점차 커지거나 염증이 발생하여 상황이 더욱 악화될 수 있습니다. 따라서, 병원에 방문하셔서 전문적인 진단과 적절한 치료를 받은 것을 강력히 권장드립니다. 2~3일 간격으로 경과를 보며 강도나 빈도를 조정해 주시고, 악화되면 바로 중단하고 가까운 병원을 방문해 주세요. 무리 없이 증상이 지속되면 병원에 오시는 게 좋습니다, 의문이 생기면 수의사와 상의해 주시고, 중요한 변화만 기록해 주세요. 초기에는 과하지 않게 경과를 보며 강도나 빈도를 조정권장합니다 경과 사진을 주 1~2회 정도 남겨 주세요. 고열·무기력·호흡 서서히 곤란이 보이면 즉시 진료가 필요합니다, 변화가 적으면 간격을 조금 넓혀 주세요. 경과 사진을 주 1~2회 정도 남겨 주세요, 변화가 적으면 간격을 조금 넓혀 주세요, 처방 용량과 간격을 지켜 주세요, 불편해하면 강도는 낮춰 주세요.",/a1ccfb6f-f03e-11ef-a324-010101010000.json
내과,"저희 집 어린 강아지가 실수로 자두 씨앗을 삼킨 것 같은데, 혹시 이로 인해 건강에 문제가 생길까 봐 염려됩니다. 자두 씨앗이 강아지에게 독성이 있는지, 그리고 어린 강아지에게 특히 더 위험할 수 있는지 궁금합니다. 만약 문제가 발생할 가능성이 있다면 어떤 증상이 나타날 수 있으며, 어떻게 대처해야 하는지 알려주시면 감사하겠습니다.","자두 씨앗은 일반적으로 소화되지 않는 식품으로 알려져 있습니다. 물론 특정한 경우에는 배변을 통해 제거될 수 있으나, 의학의 중요한 역할 중 하나는 잠재적인 위험 요인을 사전에 인지하고 이에 대한 적절한 대응을 하는 것입니다. 강아지의 소화 시스템은 식도, 위, 소장, 대장이 연속적으로 연결된 구조로 이루어져 있으며, 소화되지 않은 자두 씨앗이 위 또는 소장, 대장에 막힘을 일으킬 경우 이는 얼마 후에 강아지의 생명에 심각한 위협을 초래할 수 있습니다. 증상이 발견되지 않더라도 가까운 동물병원에 방문하여 전문가의 진료를 받으실 것을 강력히 권장합니다.",/9d732994-f03e-11ef-901f-010101010000.json
내과,"안녕하세요. 저희 집에서 기르고 있는 강아지는 말티즈 품종입니다. 그런데 어제 아침 경부터 강아지가 숨을 헐떡이며 호흡이 어려운 듯한 모습을 보이고 있습니다. 또한 헛구역질을 여러 차례 하고, 급격히 체중이 감소한 것 같습니다. 식사도 제대로 하지 못하고, 물을 마시는 양도 현저히 줄어들었으며 소변을 보는 양도 매우 적습니다. 이러한 증상이 우려스러워서 조언을 구하고자 합니다.","우선, 해당 강아지를 가능한 한 빨리 동물병원에 데려가시는 것이 중요합니다. 강아지가 겪고 있는 호흡곤란의 원인은 매우 다양하기 때문에, 흉부와 복부에 대한 방사선 촬영을 신속히 시행하는 것이 필요합니다. 노령 강아지가 호흡곤란을 호소하는 경우, 심각한 문제가 동반되어 있을 수 있으므로, 별도의 검사를 통해 정확한 원인을 확인해야 합니다. 호흡곤란 상태에 있는 동물은 갑작스럽게 상황이 악화되어 생명에 영향을 미칠 수 있으므로, 24시간 입원이 가능한 동물병원에서 적절한 처치를 받는 것이 필수적입니다. 이러한 조치를 통해 산소 공급과 함께 문제에 대한 정확한 진단을 받고, 효과적인 치료가 이루어진다면 강아지의 호흡이 개선되기를 바랍니다. 빠른 회복을 기원합니다.",/a3bcdc23-f03e-11ef-8e63-010101010000.json
내과,"강아지의 코로나 백신 접종과 관련하여 질문이 있습니다. 3개월 된 강아지가 오늘 두 번째 코로나 및 심장사상충 예방 접종을 받았는데, 접종 후 바로 사료를 급여하지 않았습니다. 그런데 패드 위에 오줌을 잘 보며, 변을 볼 때 소량의 혈액이 발견되었습니다. 변의 상태는 묽지 않았습니다. 오늘이 처음으로 외출한 날이라, 강아지가 스트레스를 받은 것인지 궁금합니다. 병원에서 항문 주위의 털도 정리했는데, 엉덩이를 한 번씩 끄는 행동을 하면서 혈액이 묻어나오고 있습니다. 혈액은 다량이 아닌 한두 방울 정도입니다. 강아지는 암컷이며, 매우 활발하게 놀고 있습니다.","백신 접종 이후에는 일부 강아지들이 무기력함을 느끼거나 구토, 설사 등의 증상을 보일 수 있습니다. 현재 혈변이 발생하고 있는지, 아니면 항문 부위에서 출혈이 나타나는지를 구분하는 것이 필요해 보입니다. 강아지가 엉덩이를 끌며 보이는 행동은 ‘스쿠팅’이라고 불리며, 이는 일반적으로 항문낭이 차 있는 경우에 나타나는 행동입니다. 반복적인 엉덩이 끄는 행위가 항문에서 출혈을 유발할 수도 있습니다. 보다 정확한 진단을 위해서는 현재 다니고 있는 동물병원에 문의하시는 것이 바람직합니다.",/a28cd9bf-f03e-11ef-b682-010101010000.json
치과,"제가 기르고 있는 말티즈의 건강에 관하여 몇 가지 질문이 있습니다. 제가 관찰한 바에 따르면, 말티즈의 일일 산책 시간이 부족한데, 이로 인해 건강에 부정적인 영향이 생기지 않을까 우려됩니다. 더불어, 양치질을 매일 실시하는 것이 올바른지에 대해서도 문의드립니다.","말티즈의 산책 횟수가 부족할 경우, 이로 인해 근육량이 감소할 수 있으며, 그러한 상황은 비만이나 신체활동 부족에서 비롯되는 다양한 건강 문제를 유발할 위험이 있습니다. 따라서, 근육 강화를 위해서는 적절한 운동이 필요합니다. 또한, 양치질은 구강 건강을 유지하기 위해 매우 중요한 일상 관리 방법입니다. 매일 양치질을 시행하는 것은 치아와 전반적인 구강 건강을 증진하는 데 큰 도움이 됩니다.",/a4e30478-f03e-11ef-8c88-010101010000.json
치과,"저는 8살 수컷 말티즈를 키우고 있는 것으로 데, 최근 강아지의 잇몸에 혹 같은 이상이 발견되었습니다. 병원에 가야 할지, 또 이 혹이 어떤 질병의 징후일지 궁금합니다. 피부 장벽 회복을 지속하려면 어떤 기준을 잡으면 좋을까요 중복 없이 정리해 주세요 간단히 알려 주실 수 있을까요? 가려움 완화를 집에서 실천할 때 꼭 지켜야 할 점이 있을까요 중복 없이 정리해 주세요. 재발 예방을 일상에서 적용하는 방법을 안내해 주세요 주의할 점도 함께 알려 주세요 간단히 알려 주실 수 있을까요?","잇몸에 혹이 생긴 경우, 주로 치주 질환이 나 염증으로 인해 발생할 수 있습니다. 또한, 혹이 양성 종양일 수도 있으며, 염증이 나 감염, 치석 등이 원인일 수도 있습니다. 진료를 통해 잇몸 상태와 소화 문제에 대한 원인을 확인하고, 적절한 치료를 받는 것이 필요합니다. 빠른 시일 내에 병원에 내원하셔서 상태를 점검받은 것을 추천드립니다. 서서히 기본 관리는 자극이 없도록 무리 없이 이어가 주세요, 환경 변화를 최소화해 주시고, 필요하면 계획을 조정해 주세요. 안전하게 재발 예방 관리는 가능하면 변화에 맞춰 조절하시고, 오염 부위는 미지근한 물로 가볍게 세척해 주시고, 상태가 나빠지면 조기에 상담해 주세요.",/a19ea1ff-f03e-11ef-8a2a-010101010000.json
치과,"제 강아지는 허스키, 32kg, 8살 남아입니다.
강아지의 잇몸에 혹이 발생하였습니다. 강아지는 크게 아파하지는 않는 듯 하지만,. 과거와 비교했을 때, 혹이 점차 커지고 있습니다.
위 상황만으로 양성인지 악성인지 예측할 수 있을까요? 
지금 당장 조치를 취해야만 할까요? 혹은 조금 더 관찰하고 강아지가 불편함을 느낄 때 치료하면 안되나요?","상황만으로 종양이 양성인지 악성인지 판단하기는 어렵습니다. 
악성종양이지만 겉으로 보이는 종양 크기 증가 속도는 느릴수도 있고, 양성종양이지만 종양 크기 증가 속도는 빠를수도 있습니다. 
만약 혹이 악성 종양인 경우 기다리다 적절한 치료 시기를 놓칠 수 있기 때문에 되도록 빨리 병원에 내원해셔서 진료보시기를 권장드립니다.",/a210ecad-f03e-11ef-b13c-010101010000.json
치과,"저는 3살 된 말티즈 여아를 키우고 있습니다. 처음으로 스케일링을 받으려는 데 병원마다 필요한 검사 여부가 달라 비용 차가 도 커서 혼란스럽습니다. 스케일링 전에 어떤 검사가 필요한지, 수술 후 관리는 어떻게 해야 하는지, 그리고 대략적인 비용도 알고 싶습니다. 통증 신호 구분을 어떻게 판단하면 좋을까요 간단히 알려 주실 수 있을까요 간단히 알려 주실 수 있을까요 간단히 알려 주실 수 있을까요 간단히 알려 주실 수 있을까요 간단히 알려 주실 수 있을까요 간단히 알려 주실 수 있을까요 간단히 알려 주실 수 있을까요 간단히 알려 주실 수 있을까요 핵심만 알려 주실 수 있을까요? 헹굼 시간 기준을 집에서 실천할 때 꼭 지켜야 할 점이 있을까요 실행 순서로 알려 주세요 핵심만 부탁드립니다. 세척 후 건조 방법을 집에서 실천할 때 꼭 지켜야 할 점이 있을까요 중복 없이 정리해 주세요 핵심만 부탁드립니다. 재발기의 신호에 대해 단계별로 설명해 주실 수 있을까요 간단히 알려 주세요 주의할 점도 함께 알려 주세요. 샴푸 주기를 시작할 때 흔히 하는 실수도 알려 주실 수 있을까요 요점 위주로 설명해 주세요 요점 위주로 설명해 주실 수 있을까요? 항염 외용제 사용에 관해 핵심만 짚어 주실 수 있을까요 핵심만 부탁드립니다 요점 위주로 설명해 주실 수 있을까요? 산책 시 주의에 관해 핵심만 짚어 주실 수 있을까요 요점 위주로 설명해 주세요 짧게 정리해 주시면 좋겠습니다. 내원 시점을 일상에서 적용하는 방법을 안내해 주세요 요점 위주로 설명해 주세요. 목욕과 보습을 집에서 실천할 때 주의할 점이 있을까요 요점 위주로 설명해 주세요 핵심만 부탁드립니다.","스케일링 전에는 일반적으로 마취가 필요하므로 마취 전 검사가 우선적으로 시행됩니다. 여기에는 혈액 검사, 흉부 방사선, 심전도 등이 포함되며, 전신 상태를 확인하여 마취의 안정성을 평가합니다. 병원에 따라 검사 항목이 나 범위가 다를 수 있으므로 비용 차이가 생길 수 있습니다. 스케일링 시에는 치석 제거뿐 아니라 잇몸 상태에 따라 발치가 필요할 수도 있습니다. 수술 후에는 회복을 위한 진통제나 항생제를 처방받고, 당일은 물과 음식 섭취를 제한하는 경우가 있습니다. 이후 구강 위생 유지를 위해 양치나 구강 관리 제품 사용을 권장합니다. 비용은 병원마다 상이 하지만, 마취 포함 스케일링 기본 비용은 약 15만 원~30만 원 내외가 며, 전처치 검사와 발치 여부에 따라 총액은 더 높아질 수 있습니다. 내원하셔서 상담을 받아보시는 것을 추천드립니다. 집에서의 관리는 무리가 가지 않게 이어가 주세요, 경과 사진을 날짜와 함께 남겨 주세요, 필요하면 계획을 조정해 주세요. 가능하면 기본 관리는 안전하게 필요한 만큼만 시행하시고, 필요하면 빈도를 유연하게 조정해 주시고, 필요하면 계획을 조정해 주세요. 일상 관리는 지속 가능하게 무리 없이 이어가 주세요, 가려움이 심한 시간대는 자극을 줄여 주세요.",/a03733a8-f03e-11ef-a0e9-010101010000.json
치과,"저희 아이가 이를 닦는 것을 너무 싫어해서 오랫동안 제대로 관리해 주지 못했습니다. 최근 보니 송곳니 쪽 잇몸이 충혈된 것처럼 붉어 보이고, 송곳니에는 검은 이물질도 끼어 있는 것 같습니다. 혹시 충치가 생긴 걸까요? 현재 치아와 잇몸 상태가 어떤지 알 수 있을까요?","충치(치아우식증)는 개에게 흔하지 않지만, 치석과 치주염은 매우 흔합니다. 말씀해 주신 증상으로 보아 치석이 쌓이며 염증이 생긴 가능성이 높습니다. 치아 표면의 검은 이물질은 치석이거나 치아의 변색일 수 있고, 송곳니 주변이 붉어진 것은 잇몸 염증이 진행 중일 수 있습니다. 정확한 상태를 확인하려면 구강 검진이 필요하며, 심한 경우 치과 방사선 검사를 통해 치근과 잇몸 아래 상태까지 평가할 수 있습니다. 구강 질환은 조기에 관리하는 것이 중요하므로 클리닉 방문을 권장드립니다.",/a1b0a712-f03e-11ef-ba52-010101010000.json
