Name,Facility_ID,Category,BusinessStatus,BusinessStatusDetail,Sido,Sigungu,Dong,LotNumber,RoadAddress,PostalCode,lat,lon,PhoneNumber,LicenseDate,ClosingDate,LastUpdated,region_key,coord_status
뿌리동물병원,495000001020260001,4950000,영업/정상,정상,전라남도,무안군,무안군,전라남도 무안군 무안읍 성남리 319-1,전라남도 무안군 무안읍 하마로 16,58529.0,34.984519017447795,126.47247727003314,,2026-03-03,,2026-03-04,전라남도_무안군,ok
우리들외과동물의료센터,341000001020260001,3410000,영업/정상,정상,대구광역시,중구,중구,대구광역시 중구 삼덕동2가 295-1,대구광역시 중구 달구벌대로 2199 (삼덕동2가),41948.0,35.863218612281166,128.60404417126549,053-716-4488,2026-03-04,,2026-03-06,대구광역시_중구,ok
별내품은동물병원,399000001020260001,3990000,영업/정상,정상,경기도,남양주시,남양주시,경기도 남양주시 별내동 1150-1,"경기도 남양주시 식송1로 184, 1층 (별내동)",12099.0,37.66454223999271,127.11253828035174,,2026-03-09,,2026-03-10,경기도_남양주시,ok
청량리 슬기 동물병원,305000001020240001,3050000,영업/정상,정상,서울특별시,동대문구,동대문구,서울특별시 동대문구 전농동 620-15 청량리역 우남SL타워300,"서울특별시 동대문구 왕산로 186, 청량리역 우남SL타워300 218, 219호 (전농동)",2559.0,37.579498413477886,127.0439958686334,02-3293-7582,2024-11-21,,2025-12-15,서울특별시_동대문구,ok
이즈 동물병원,305000001020250001,3050000,영업/정상,정상,서울특별시,동대문구,동대문구,서울특별시 동대문구 이문동 257-42 래미안라그란데아파트,"서울특별시 동대문구 이문로35길 12, 상가 C동 102호 (이문동, 래미안라그란데아파트)",2404.0,37.60008366980657,127.06023024432932,02-2138-0514,2025-02-12,,2025-12-15,서울특별시_동대문구,ok
아이랑 동물병원,305000001020250002,3050000,영업/정상,정상,서울특별시,동대문구,동대문구,서울특별시 동대문구 이문동 257-42 래미안라그란데아파트,"서울특별시 동대문구 이문로35길 12, 상가 A동 101호 (이문동, 래미안라그란데아파트)",2404.0,37.60008366980657,127.06023024432932,,2025-03-04,,2025-12-15,서울특별시_동대문구,ok
태능동물병원,306000001019910001,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 묵동 175-2 3층,"서울특별시 중랑구 동일로 920, 3층 (묵동)",2033.0,37.61259595574528,127.07757937063104,02-973-1953,1991-11-30,,2026-02-05,서울특별시_중랑구,ok
보람동물병원,306000001019950001,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 면목동 353-4,서울특별시 중랑구 면목로 269 (면목동),2240.0,37.57702540094841,127.08575219545888,,1995-08-02,,2025-12-15,서울특별시_중랑구,ok
엔젤동물병원,306000001019960001,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 면목동 102-51,서울특별시 중랑구 겸재로 187 (면목동),2161.0,37.58879668267824,127.08837074774294,,1996-03-26,,2025-12-15,서울특별시_중랑구,ok
홍상희동물병원,306000001019970001,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 묵동 239-76,"서울특별시 중랑구 동일로 899, 1층 (묵동)",2006.0,37.610665067179454,127.07738991889111,,1997-03-17,,2025-12-15,서울특별시_중랑구,ok
하스펫탈동물병원,306000001020000001,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 면목동 225-7,"서울특별시 중랑구 면목로 442-1, 1층 (면목동)",2160.0,37.59157193200662,127.08695803491196,,2000-02-29,,2025-12-15,서울특별시_중랑구,ok
신내동물병원,306000001020000002,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 중화동 11-36 삼일시티빌 1층,"서울특별시 중랑구 봉화산로 103, 1층 (중화동, 삼일시티빌)",2048.0,37.60271567544758,127.08571737020516,34220001,2000-07-21,,2025-12-15,서울특별시_중랑구,ok
진정훈동물병원,306000001020010003,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 중화동 305-44 유정빌딩,"서울특별시 중랑구 봉화산로 39-1, 유정빌딩 2층 (중화동)",2017.0,37.601766547449216,127.07877176145574,22070073,2001-05-09,,2025-12-15,서울특별시_중랑구,ok
성지동물병원,306000001020010004,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 면목동 634-5,서울특별시 중랑구 면목로 311 (면목동),2238.0,37.57991331228275,127.08777346886724,,2001-05-31,,2025-12-15,서울특별시_중랑구,ok
금란동물병원,306000001020020003,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 망우동 364-27 금란동물병원,"서울특별시 중랑구 용마산로 532, 금란동물병원 (망우동)",2176.0,37.5984501658291,127.1005968009084,,2002-12-03,,2025-12-15,서울특별시_중랑구,ok
서울우유협동조합유우진료소,306000001020030002,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 상봉동 137-7,서울특별시 중랑구 중랑천로 71 (상봉동),,37.59172588885943,127.07236905201884,02-2094-8344,2003-05-28,,2026-02-04,서울특별시_중랑구,ok
주연동물병원,306000001020060001,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 면목동 353-25,서울특별시 중랑구 면목로 273 (면목동),,37.57729473368248,127.08570676882223,22079931,2006-01-04,,2025-12-15,서울특별시_중랑구,ok
진서동물병원,306000001020060002,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 신내동 571-8,서울특별시 중랑구 신내로10길 7 (신내동),2069.0,37.60469895992789,127.09592363119476,,2006-02-23,,2025-12-15,서울특별시_중랑구,ok
세진동물병원,306000001020060003,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 망우동 488-14,서울특별시 중랑구 망우로 415(망우동),2073.0,37.59967727956608,127.09832439490604,,2006-02-23,,2025-12-15,서울특별시_중랑구,ok
숲속동물병원,306000001020060006,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 면목동 103-4 1층,"서울특별시 중랑구 겸재로 207, 1층 (면목동)",2162.0,37.5893145759856,127.09056171903175,,2006-08-01,,2025-12-15,서울특별시_중랑구,ok
면목동물병원,306000001020090001,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 면목동 606-6,서울특별시 중랑구 사가정로 363 (면목동),2227.0,37.581215440904586,127.08490194129188,,2009-04-08,,2025-12-15,서울특별시_중랑구,ok
하니동물병원,306000001020100001,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 신내동 648 디아뜨갤러리,"서울특별시 중랑구 신내로 225, 디아뜨갤러리 142호 (신내동)",2024.0,37.5953,127.08766,02-3422-0977,2010-03-26,,2025-12-15,서울특별시_중랑구,centroid_fallback
한국동물메디컬센터(KAMC),306000001020100002,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,"서울특별시 중랑구 면목동 119-10 1,2층","서울특별시 중랑구 겸재로 165, 1,2층 (면목동)",2145.0,37.588194683972446,127.08589954585344,22086788,2010-10-27,,2025-12-15,서울특별시_중랑구,ok
닥터 아이펫 동물병원,306000001020130001,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 상봉동 99-10,"서울특별시 중랑구 망우로 315, 2층 (상봉동)",2098.0,37.59722893012117,127.08747279193403,22080329,2013-11-19,,2025-12-15,서울특별시_중랑구,ok
행복이 있는 동물병원,306000001020140002,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 신내동 405-5,"서울특별시 중랑구 봉화산로 232, B동 1층 (신내동)",2067.0,37.60781799637898,127.09834744881064,02-433-3387,2014-12-03,,2025-12-15,서울특별시_중랑구,ok
보담동물병원,306000001020160001,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 면목동 17-31,"서울특별시 중랑구 용마산로 434 (면목동, 청파빌딩)",2189.0,37.58995069325802,127.0974041181315,02-494-7775,2016-04-21,,2025-12-15,서울특별시_중랑구,ok
로얄동물암치료센터,306000001020170001,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 면목동 146-75,"서울특별시 중랑구 동일로 640, 지하 2층 (면목동)",2140.0,37.5875121910664,127.08024405734544,02-6215-3416,2017-05-18,,2025-12-15,서울특별시_중랑구,ok
아이봄 동물병원,306000001020190002,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 신내동 563-2,서울특별시 중랑구 신내로 66 (신내동),2069.0,37.605048840876215,127.09562720968692,02-433-7515,2019-09-06,,2025-12-15,서울특별시_중랑구,ok
레미 동물병원,306000001020200001,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 면목동 172-93,"서울특별시 중랑구 동일로 593, 2층 (면목동)",2232.0,37.583355955409615,127.07946842971164,02-470-4707,2020-06-10,,2025-12-15,서울특별시_중랑구,ok
치료해 주오,306000001020200002,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 묵동 238-8 하태윤산부인과,"서울특별시 중랑구 동일로 925, 3층 (묵동)",2005.0,37.612956403917785,127.07681453521543,02-949-7577,2020-11-09,,2025-12-15,서울특별시_중랑구,ok
닥터멍동물병원,306000001020210002,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 면목동 71-41,"서울특별시 중랑구 상봉로 17, 1층 (면목동)",2202.0,37.58749587023031,127.09412600079384,02-439-7582,2021-04-27,,2025-12-15,서울특별시_중랑구,ok
로얄동물메디컬센터 본원,306000001020230001,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 면목동 146-75,"서울특별시 중랑구 동일로 640, 2층, 3층 (면목동)",2140.0,37.5875121910664,127.08024405734544,070-8660-0904,2023-04-09,,2025-12-15,서울특별시_중랑구,ok
로얄동물외과수술센터,306000001020230002,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 면목동 146-75,"서울특별시 중랑구 동일로 640, 지하1, 지상4층 (면목동)",2140.0,37.5875121910664,127.08024405734544,070-8660-0936,2023-07-21,,2025-12-15,서울특별시_중랑구,ok
혜원동물병원,306000001020230003,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 면목동 497-7,"서울특별시 중랑구 면목로 341, 1층 (면목동)",2228.0,37.58234924346363,127.08829215336915,02-439-8300,2023-11-06,,2025-12-15,서울특별시_중랑구,ok
중랑차동물병원,306000001020240001,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 상봉동 137-16,"서울특별시 중랑구 중랑천로 81, 101호 (상봉동)",2118.0,37.592438036691554,127.07263642772348,02-433-0787,2024-01-02,,2025-12-15,서울특별시_중랑구,ok
산들동물병원,306000001020240002,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 망우동 584 신내역 프라디움 더 테라스,"서울특별시 중랑구 용마산로 670, C동 129,130호 (망우동, 신내역 프라디움 더 테라스)",2057.0,37.5953,127.08766,02-435-7582,2024-04-05,,2025-12-15,서울특별시_중랑구,centroid_fallback
모루 동물의료센터,306000001020250001,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 상봉동 74-43,"서울특별시 중랑구 망우로 373, 1층 (상봉동)",2086.0,37.59863059757336,127.09364247111758,02-2038-7533,2025-03-20,,2025-12-15,서울특별시_중랑구,ok
큐동물병원,307000001019980001,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 장위동 225-61,서울특별시 성북구 장위로 81 (장위동),2756.0,37.61400382263557,127.04570239928618,,1998-07-28,,2025-12-15,서울특별시_성북구,ok
한사랑동물병원,307000001019990001,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 성북동1가 115-23,서울특별시 성북구 성북로 27 (성북동1가),2880.0,37.59035401605605,127.00383550364516,,1999-01-06,,2025-12-15,서울특별시_성북구,ok
나래종합동물병원,307000001020000001,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 동소문동3가 79,서울특별시 성북구 동소문로 66 (동소문동3가),2860.0,37.60381,127.03083,,2000-03-14,,2025-12-15,서울특별시_성북구,centroid_fallback
서울종합동물병원,307000001020000004,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 보문동2가 49,서울특별시 성북구 보문로 137 (보문동2가),2871.0,37.60381,127.03083,,2000-08-01,,2025-12-15,서울특별시_성북구,centroid_fallback
대학동물병원,307000001020010002,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 장위동 8-2 석계역 한일노벨리아시티 210호,"서울특별시 성북구 화랑로 299, 2층 210호 (장위동, 석계역 한일노벨리아시티)",2779.0,37.61357796579684,127.0611115902078,,2001-05-07,,2025-12-15,서울특별시_성북구,ok
강북동물병원,307000001020010004,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 종암동 19-1,서울특별시 성북구 종암로 65 (종암동),2810.0,37.59620751393615,127.035165073023,,2001-04-12,,2025-12-15,서울특별시_성북구,ok
드림동물병원,307000001020030001,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 동소문동5가 8-1,서울특별시 성북구 동소문로 74 (동소문동5가),2846.0,37.59183535027329,127.01369824241834,,2003-01-30,,2025-12-15,서울특별시_성북구,ok
길음동물병원,307000001020030004,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 길음동 1276,"서울특별시 성북구 동소문로 248 (길음동, 삼부상가 102동 6,7호)",2735.0,37.60381,127.03083,,2003-05-12,,2025-12-15,서울특별시_성북구,centroid_fallback
행복한동물병원,307000001020050003,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 장위동 64-124,서울특별시 성북구 돌곶이로 91 (장위동),2772.0,37.61117570267344,127.05635050006872,,2005-08-30,,2025-12-15,서울특별시_성북구,ok
미소동물병원,307000001020060001,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 종암동 68-1,서울특별시 성북구 종암로 91(종암동),2810.0,37.59839016753448,127.03435134786194,,2006-07-28,,2025-12-15,서울특별시_성북구,ok
중앙동물병원,307000001020070001,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 석관동 268-11,서울특별시 성북구 돌곶이로 56 (석관동),2784.0,37.60886931832278,127.05931979928155,,2007-03-29,,2025-12-15,서울특별시_성북구,ok
비비펫 동물병원,307000001020070003,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 하월곡동 16-7,서울특별시 성북구 화랑로 91 (하월곡동),2751.0,37.60298922405159,127.04213101948773,,2007-06-28,,2025-12-15,서울특별시_성북구,ok
보성통증동물병원,307000001020070004,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 정릉동 285-4 정호빌딩,"서울특별시 성북구 보국문로 68-1, 정호빌딩 1층 (정릉동)",2711.0,37.6106037568112,127.00937757084203,,2007-08-13,,2025-12-15,서울특별시_성북구,ok
ZOO동물병원,307000001020070005,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 정릉동 16-162,"서울특별시 성북구 정릉로 328, 1층 (정릉동)",2816.0,37.60201064267613,127.01954285096517,,2007-08-20,,2025-12-15,서울특별시_성북구,ok
우리동물병원,307000001020080003,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 길음동 1125-9,서울특별시 성북구 삼양로 84 (길음동),2726.0,37.6108516732476,127.02256037206068,,2008-05-13,,2025-12-15,서울특별시_성북구,ok
24시 애니동물병원,307000001020080004,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 보문동5가 3-1,서울특별시 성북구 보문로 99 (보문동5가),2872.0,37.58393877768658,127.01983393009394,,2008-10-16,,2025-12-15,서울특별시_성북구,ok
VIP 동물의료센터,307000001020090001,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 동소문동6가 3-1 시티플레이스,"서울특별시 성북구 동소문로 73, 시티플레이스 1층 101호, 비101호, 비201호, 비202호 (동소문동6가)",2830.0,37.59230997531068,127.01342772959374,,2009-04-14,,2025-12-15,서울특별시_성북구,ok
태양 동물병원,307000001020100001,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 석관동 332-23,서울특별시 성북구 돌곶이로 31 (석관동),2788.0,37.60702845789928,127.06068495287025,,2010-02-11,,2025-12-15,서울특별시_성북구,ok
쓰담쓰담 동물병원,307000001020100002,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 종암동 86-1,서울특별시 성북구 종암로 113 (종암동),2803.0,37.600161307091405,127.03367422910544,,2010-04-14,,2025-12-15,서울특별시_성북구,ok
호담동물병원,307000001020130001,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 하월곡동 88-677,서울특별시 성북구 동소문로 302 (하월곡동),2733.0,37.606784480105134,127.02853145582417,,2013-05-07,,2025-12-15,서울특별시_성북구,ok
꿈의숲동물병원,307000001020140001,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 장위동 319 꿈의숲코오롱하늘채아파트 105동 112호,"서울특별시 성북구 돌곶이로 220, 105동 112호 (장위동, 꿈의숲코오롱하늘채아파트)",2757.0,37.60381,127.03083,,2014-01-07,,2025-12-15,서울특별시_성북구,centroid_fallback
도담도담동물병원,307000001020140002,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 하월곡동 46-73 코업스타클래스 1층,"서울특별시 성북구 화랑로 76 (하월곡동, 코업스타클래스 1층)",2799.0,37.60182099468299,127.04044516263976,,2014-04-02,,2025-12-15,서울특별시_성북구,ok
카카오 N 동물병원,307000001020140003,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 길음동 1284 길음뉴타운 제상가비동 제지2층 25호,"서울특별시 성북구 길음로 33 (길음동, 길음뉴타운 제상가비동 제지2층 25호)",2720.0,37.60381,127.03083,,2014-05-01,,2025-12-15,서울특별시_성북구,centroid_fallback
넬 동물의료센터,307000001020150001,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 하월곡동 76-16,서울특별시 성북구 오패산로 75-1 (하월곡동),2737.0,37.60880695782872,127.03578193376671,02-6925-4347,2015-08-04,,2025-12-15,서울특별시_성북구,ok
앙리동물병원,307000001020160001,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 성북동 155-15 1층,"서울특별시 성북구 성북로 66, 1층 (성북동)",2835.0,37.59345786787597,127.0017171091372,,2016-02-24,,2025-12-15,서울특별시_성북구,ok
스마트동물병원 성북길음점,307000001020160002,3070000,영업/정상,정상,서울특별시,성북구,성북구,"서울특별시 성북구 길음동 1285 길음뉴타운7단지 두산위브상가 103호, 104호","서울특별시 성북구 길음로13길 22, 103호, 104호 (길음동, 길음7구역두산위브아파트)",2715.0,37.60381,127.03083,,2016-10-06,,2025-12-15,서울특별시_성북구,centroid_fallback
포유동물병원,307000001020160003,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 하월곡동 62-4,서울특별시 성북구 오패산로 22 (하월곡동),2751.0,37.60421833638937,127.03774318486808,,2016-12-12,,2025-12-15,서울특별시_성북구,ok
로이동물병원,307000001020170001,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 동소문동6가 237,서울특별시 성북구 아리랑로 27 (동소문동6가),2830.0,37.60381,127.03083,,2017-09-19,,2025-12-15,서울특별시_성북구,centroid_fallback
성신동물병원,307000001020190001,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 동선동5가 1,"서울특별시 성북구 아리랑로 18, 1층 101호 (동선동5가)",2829.0,37.60381,127.03083,,2019-09-27,,2025-12-15,서울특별시_성북구,centroid_fallback
더편한동물병원,307000001020190002,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 길음동 498-1 래미안길음센터피스,"서울특별시 성북구 숭인로 50, 상가동 2203호 (길음동, 래미안길음센터피스)",2727.0,37.60381,127.03083,,2019-11-04,,2026-01-23,서울특별시_성북구,centroid_fallback
퍼스트동물병원,307000001020200001,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 장위동 173-114 래미안장위퍼스트하이,"서울특별시 성북구 한천로 713, 515동 상가 206,207호 (장위동, 래미안장위퍼스트하이)",2760.0,37.60381,127.03083,,2020-05-07,,2025-12-15,서울특별시_성북구,centroid_fallback
원러브동물의료센터,307000001020200002,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 돈암동 644 돈암코오롱하늘채,"서울특별시 성북구 아리랑로 75, 상가3동 1층 110호 (돈암동, 돈암코오롱하늘채)",2826.0,37.60381,127.03083,69560040,2020-12-03,,2025-12-15,서울특별시_성북구,centroid_fallback
포포동물병원,307000001020220001,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 보문동7가 102 (주)참존글로벌워크,"서울특별시 성북구 보문로 51, (주)참존글로벌워크 1층 (보문동7가)",2873.0,37.60381,127.03083,,2022-10-24,,2025-12-15,서울특별시_성북구,centroid_fallback
아이튼튼동물병원,307000001020240001,3070000,영업/정상,정상,서울특별시,성북구,성북구,서울특별시 성북구 길음동 542-1 길음역롯데캐슬트윈골드아파트 241호,"서울특별시 성북구 길음로 11, 2층 241호 (길음동, 길음역롯데캐슬트윈골드아파트)",2722.0,37.60374160385093,127.02314091497574,,2024-06-24,,2025-12-15,서울특별시_성북구,ok
삼양동물병원,308000001019920001,3080000,영업/정상,정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 734-258 백운M빌딩,"서울특별시 강북구 삼양로 190, 백운M빌딩 1층 (미아동)",1174.0,37.62084167903839,127.02095594421672,,1992-08-18,,2026-01-08,서울특별시_강북구,ok
중앙동물병원,308000001019950001,3080000,영업/정상,정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 98-39,서울특별시 강북구 도봉로 88 (미아동),1165.0,37.617026887345496,127.03039586371348,,1995-09-06,,2026-01-08,서울특별시_강북구,ok
동물병원 위드,308000001019970001,3080000,영업/정상,정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 47-69,서울특별시 강북구 덕릉로 79 (수유동),1081.0,37.63480317033517,127.02261310505833,,1997-08-18,,2026-01-08,서울특별시_강북구,ok
사랑동물병원,308000001019990001,3080000,영업/정상,정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 319-12 삼흥연립,서울특별시 강북구 삼양로123길 6-12 (수유동),1029.0,37.6453591087589,127.01533225265034,,1999-01-07,,2026-01-08,서울특별시_강북구,ok
현대종합동물병원,308000001020020001,3080000,영업/정상,정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 252-199,서울특별시 강북구 노해로 94 (수유동),1051.0,37.64376678429622,127.02303272787962,,2002-04-11,,2026-01-08,서울특별시_강북구,ok
솔샘동물병원,308000001020020002,3080000,영업/정상,정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 812 삼성래미안트리베라아파트,"서울특별시 강북구 삼양로27길 19, 상가 204동 108호 (미아동, 삼성래미안트리베라아파트)",1195.0,37.63074,127.02349,,2002-10-15,,2026-01-08,서울특별시_강북구,centroid_fallback
애니케어 동물병원 수유점,308000001020020003,3080000,영업/정상,정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 279-290,서울특별시 강북구 삼양로 499 (수유동),1026.0,37.647754376539424,127.01426002996948,,2002-06-19,,2026-01-08,서울특별시_강북구,ok
대형동물병원,308000001020030003,3080000,영업/정상,정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 266-20,서울특별시 강북구 한천로 1135(수유동),1039.0,37.64588212184936,127.01822390649242,,2003-04-07,,2026-01-08,서울특별시_강북구,ok
창문동물병원,308000001020030004,3080000,영업/정상,정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 48-24,서울특별시 강북구 월계로 35 (미아동),1222.0,37.61111728453904,127.03379366699144,02-988-0251,2003-06-26,,2026-01-08,서울특별시_강북구,ok
위즈동물병원,308000001020030005,3080000,영업/정상,정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 197-9,서울특별시 강북구 도봉로 202 (미아동),1133.0,37.62674167608365,127.02630582269693,02-987-7959,2003-07-18,,2026-01-08,서울특별시_강북구,ok
