Name,Facility_ID,Category,TaskType,BusinessStatus,Sido,Sigungu,Dong,LotNumber,RoadAddress,PostalCode,lat,lon,PhoneNumber,LicenseDate,ClosingDate,LastUpdated,region_key,coord_status
싱글벙글,307000004820230005,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 종암동 **-**,"서울특별시 성북구 종암로**길 **-**, *층 (종암동)",2800.0,37.59650221908098,127.03627160001854,,2023-12-22,,2026-01-13,서울특별시_성북구,ok
몽글몽글,307000004820240001,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 장위동 **-***,"서울특별시 성북구 돌곶이로**길 **-*, *층 (장위동)",2771.0,37.61074077736751,127.05283952501348,,2024-08-14,,2026-01-13,서울특별시_성북구,ok
코코몽드,307000004820250001,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 석관동 ***-***,"서울특별시 성북구 돌곶이로 **, *층 (석관동)",2788.0,37.60592285926251,127.06163932948633,02-967-7900,2025-03-18,,2026-01-13,서울특별시_성북구,ok
놀멍뭐하니,307000004820250002,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 하월곡동 **-****,"서울특별시 성북구 종암로**길 **, *층 (하월곡동)",2739.0,37.604485308120765,127.03311078984925,,2025-12-02,,2026-01-13,서울특별시_성북구,ok
냥바라기,307000004820260001,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 삼선동*가 ***-* 삼선푸르지오 상가동 ***호,"서울특별시 성북구 보문로**다길 *, 삼선푸르지오 상가동 *층 ***호 (삼선동*가)",2869.0,37.585561108523386,127.0133488816018,,2026-01-16,,2026-01-17,서울특별시_성북구,ok
나라 앤 송이 애견샵,308000004820180009,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-** *층,"서울특별시 강북구 한천로***길 **-**, *층 (수유동)",1054.0,37.64178489078961,127.02665281688704,,2018-05-30,,2026-01-13,서울특별시_강북구,ok
꽃보다 개,308000004820180014,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-*,서울특별시 강북구 한천로 **** (수유동),1048.0,37.64425164010092,127.02115897141424,,2018-06-07,,2026-01-13,서울특별시_강북구,ok
버블펫,308000004820180016,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 ***-*** *층,"서울특별시 강북구 오패산로**길 **, *층 (미아동)",1153.0,37.62409203971599,127.03225602848852,02-987-9808,2018-07-09,,2026-01-13,서울특별시_강북구,ok
라울레미 하우스,308000004820180017,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 ***-***,"서울특별시 강북구 도봉로**길 **, *층 (미아동)",1162.0,37.62257862530239,127.03171513287964,,2018-07-31,,2026-01-13,서울특별시_강북구,ok
솔샘펫,308000004820180018,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 ****-*,"서울특별시 강북구 솔샘로 ***, *층 (미아동)",1193.0,37.61985975027507,127.01780741629072,,2018-07-31,,2026-01-13,서울특별시_강북구,ok
24시 수유 바른펫 동물의료센터,308000004820180022,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 **-** 리안스페이스,"서울특별시 강북구 노해로 **, 리안스페이스 *층 (수유동)",1077.0,37.6414524945055,127.0222654729472,02-903-7582,2018-09-20,,2026-01-13,서울특별시_강북구,ok
H 동물병원,308000004820180028,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 ****-* 미아프라자,"서울특별시 강북구 삼양로**길 **-**, 미아프라자 ***호 (미아동)",1196.0,37.61794948399367,127.01893931549452,,2018-10-02,,2026-01-13,서울특별시_강북구,ok
아이사랑 동물병원,308000004820190006,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 ***-* 현대성우아파트,"서울특별시 강북구 삼양로**길 **, ***동 ***호 (미아동, 현대성우아파트)",1201.0,37.61720439570128,127.0221043512218,02-946-0011,2019-05-09,,2026-01-13,서울특별시_강북구,ok
coco puppy,308000004820190011,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 * 꿈의숲 롯데캐슬 ***동 *호,"서울특별시 강북구 오현로 **, ***동 *층 *호 (미아동, 꿈의숲 롯데캐슬)",1232.0,37.63074,127.02349,,2019-07-18,,2026-01-13,서울특별시_강북구,centroid_fallback
멍멍이발소,308000004820200001,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 **-**,서울특별시 강북구 삼양로 *** (수유동),1116.0,37.630389363982985,127.01800494335764,,2020-02-10,,2026-01-13,서울특별시_강북구,ok
멍멍슈퍼,308000004820200003,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 *-**,"서울특별시 강북구 노해로*길 *-*, *층 (수유동)",1080.0,37.637737014957615,127.02243131495308,,2020-02-21,,2026-01-13,서울특별시_강북구,ok
왈왈미용실,308000004820210002,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 **-** ***호,"서울특별시 강북구 수유로 **, ***호 (수유동)",1081.0,37.63548781423096,127.0198022979515,,2021-01-06,,2026-01-13,서울특별시_강북구,ok
리리앤펫,308000004820220007,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 번동 ***-*,"서울특별시 강북구 한천로***길 **, *층 (번동)",1064.0,37.63792235185622,127.0269060422644,,2022-09-07,,2026-01-13,서울특별시_강북구,ok
로엘유치원,308000004820220008,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-*,서울특별시 강북구 삼양로**길 *(수유동),1087.0,37.63724617458409,127.016956253005,,2022-09-29,,2026-01-13,서울특별시_강북구,ok
멍토리니,308000004820230003,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-*** 미성빌딩,"서울특별시 강북구 삼양로 ***, 미성빌딩 *층 (수유동)",1099.0,37.630970538455806,127.01757455050388,,2023-09-14,,2026-01-13,서울특별시_강북구,ok
멍아지트,308000004820240001,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 *** ***동 상가,"서울특별시 강북구 삼양로***길 **, ***동 상가 ***호 (수유동)",1042.0,37.63074,127.02349,,2024-04-18,,2026-01-13,서울특별시_강북구,centroid_fallback
놀멍쉬멍,308000004820240002,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-*,"서울특별시 강북구 노해로 ***, *층 (수유동)",1051.0,37.64548733983735,127.02455208271957,,2024-04-18,,2026-01-13,서울특별시_강북구,ok
두두스테이,308000004820240003,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 ***-**,"서울특별시 강북구 삼양로 ***, *층 (미아동)",1189.0,37.61999570210263,127.02068175874606,,2024-04-18,,2026-01-13,서울특별시_강북구,ok
애견유치원 왈스 강북점 반려견 교육,308000004820240004,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 ***-**,"서울특별시 강북구 도봉로**가길 **, *층 (미아동)",1161.0,37.621601413632,127.02862771532416,,2024-05-01,,2026-01-13,서울특별시_강북구,ok
스탠퍼독,308000004820240006,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,"서울특별시 강북구 수유동 ***-* 정도타운 *층, 지하*층","서울특별시 강북구 노해로**길 **-*, 정도타운 *층,지하*층 (수유동)",1050.0,37.64730596096001,127.02411528879342,,2024-08-27,,2026-01-13,서울특별시_강북구,ok
멍멍멍,308000004820240008,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 ***-** *층 중간호,"서울특별시 강북구 도봉로**길 **, *층 중간호 (미아동)",1125.0,37.62677782110164,127.02442525517492,,2024-12-18,,2026-01-13,서울특별시_강북구,ok
더이쁘개,308000004820250001,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-** 골든빌,"서울특별시 강북구 노해로**길 *, ***호 (수유동, 골든빌)",1049.0,37.64506472956553,127.02320532677057,,2025-01-08,,2026-01-13,서울특별시_강북구,ok
도담도담(애견유치원/호텔),308000004820250002,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-* 은경빌딩,"서울특별시 강북구 한천로***길 **, 은경빌딩 *층 좌 ***호 (수유동)",1055.0,37.642070886849154,127.0287684052958,,2025-01-20,,2026-01-13,서울특별시_강북구,ok
쓰다드멍,308000004820250003,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 ****-* 벽산라이브파크 상가,"서울특별시 강북구 솔샘로 ***, 벽산라이브파크 상가 ***호 (미아동)",1191.0,37.62014579003817,127.01122925747866,,2025-01-20,,2026-01-13,서울특별시_강북구,ok
펫맘애,308000004820250004,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-**,서울특별시 강북구 덕릉로 **-* (수유동),1098.0,37.63389398310355,127.01631575374662,,2025-03-12,,2026-01-13,서울특별시_강북구,ok
놀러오개 애견유치원 애견호텔 수유점,308000004820250005,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-* 씨엘빌딩 *층,"서울특별시 강북구 삼양로 ***, 씨엘빌딩 *층 (수유동)",1029.0,37.64749841033658,127.01434614958175,,2025-08-05,,2026-01-13,서울특별시_강북구,ok
피치 앤 마리,308000004820250006,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-** 장미빌라 ***호,"서울특별시 강북구 삼양로***길 *, ***호 (수유동, 장미빌라)",1037.0,37.64685037711249,127.01561552204886,,2025-09-25,,2026-01-13,서울특별시_강북구,ok
멍타임,308000004820250007,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-** *층,"서울특별시 강북구 한천로 ****, *층 (수유동)",1037.0,37.64742596439304,127.01608054455414,,2025-10-28,,2026-01-13,서울특별시_강북구,ok
코코포레(coco foret),308000004820250008,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 우이동 **-*,서울특별시 강북구 삼양로***가길 ** (우이동),1009.0,37.65133315942988,127.0121452618031,,2025-12-02,,2026-01-13,서울특별시_강북구,ok
365동물병원,309000004820180031,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 방학동 ***-** 영하빌딩,"서울특별시 도봉구 방학로 **, 영하빌딩 (방학동)",1335.0,37.66296777701386,127.0463635686406,02-6402-0365,2018-09-13,,2026-01-13,서울특별시_도봉구,ok
핑크퍼피(PINKPUPPY),309000004820190001,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 도봉동 ***-**,서울특별시 도봉구 시루봉로 *** (도봉동),1349.0,37.67100805553172,127.04078414391554,,2019-01-11,,2026-01-13,서울특별시_도봉구,ok
도그송,309000004820190010,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 창동 ***-** 돋을볕 *동 ***호,"서울특별시 도봉구 덕릉로**길 ***, *층 ***호 (창동, 돋을볕)",1457.0,37.64599274406259,127.03957119779076,02-900-9069,2019-06-27,,2026-01-13,서울특별시_도봉구,ok
사랑해줄개,309000004820200002,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 도봉동 ***-*,서울특별시 도봉구 도봉로 *** (도봉동),1307.0,37.67741394876659,127.0446368259001,,2020-02-05,,2026-01-13,서울특별시_도봉구,ok
두부네,309000004820200005,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 방학동 ***-** 북한산팰리스,"서울특별시 도봉구 도당로**길 *, ***동 *층 ***호 (방학동, 북한산팰리스)",1353.0,37.66675369897057,127.03833519500115,,2020-03-16,,2026-01-13,서울특별시_도봉구,ok
고놈들,309000004820200008,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 쌍문동 ***-**,"서울특별시 도봉구 우이천로 ***, *층 (쌍문동)",1452.0,37.64363881930031,127.03057773377766,,2020-03-31,,2026-01-13,서울특별시_도봉구,ok
waldog(왈독),309000004820200012,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 쌍문동 ***-*,"서울특별시 도봉구 노해로 ***, *층 (쌍문동)",1446.0,37.64847148758884,127.02697117185431,,2020-10-19,,2026-01-13,서울특별시_도봉구,ok
몽앤츄,309000004820210001,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 창동 ***-** 창동 SR스타빌 ***호,"서울특별시 도봉구 노해로**길 **-*, 창동 SR스타빌 ***호 (창동)",1405.0,37.65251185956574,127.047137703848,,2021-01-05,,2026-01-13,서울특별시_도봉구,ok
삼이네멍치원,309000004820220002,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 방학동 ***,"서울특별시 도봉구 방학로 ***, *층 (방학동)",1390.0,37.65651,127.0392,,2022-06-28,,2026-01-13,서울특별시_도봉구,centroid_fallback
고양이미용호텔_미야옹,309000004820220003,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 창동 ***-**,서울특별시 도봉구 덕릉로**가길 *(창동),1473.0,37.63782566856981,127.03817458004512,,2022-09-06,,2026-01-13,서울특별시_도봉구,ok
마벨켄넬,309000004820230001,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 도봉동 ***-**,"서울특별시 도봉구 도봉로***나길 **, *층 (도봉동)",1307.0,37.676943986309865,127.04386077297336,,2023-01-16,,2026-01-13,서울특별시_도봉구,ok
고양이 미용&호텔 뽀냥,309000004820230002,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 창동 ***-**,"서울특별시 도봉구 덕릉로 ***-*, *층 (창동)",1474.0,37.64039634767963,127.04006069803852,,2023-02-03,,2026-01-13,서울특별시_도봉구,ok
댕댕이 이쁘개,309000004820230003,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 쌍문동 ***-**,"서울특별시 도봉구 우이천로**길 **, *층 (쌍문동)",1379.0,37.650382137957294,127.02532717285864,,2023-02-17,,2026-01-13,서울특별시_도봉구,ok
마이 단독(My only&sweet dog),309000004820230005,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 창동 ***-* 창동점포주택,"서울특별시 도봉구 노해로 ***, *층 (창동)",1428.0,37.651808469619205,127.03872608452028,,2023-06-09,,2026-01-13,서울특별시_도봉구,ok
몽들레,309000004820230006,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 창동 ***-** 삼양빌라,"서울특별시 도봉구 노해로**나길 *, *층 ***호 (창동, 삼양빌라)",1403.0,37.65386245496639,127.044727014158,,2023-10-24,,2026-01-13,서울특별시_도봉구,ok
주식회사 유엑스플러스포레스트,309000004820240001,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 창동 *-** 씨드큐브 창동,"서울특별시 도봉구 마들로**길 **, 씨드큐브 창동 비층 ***-*호 (창동)",1413.0,37.65450062187146,127.04967333434914,070-7733-8505,2024-01-24,,2026-01-13,서울특별시_도봉구,ok
도그포레,309000004820240002,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 창동 ***-**,서울특별시 도봉구 덕릉로**자길 ** (창동),1468.0,37.64083661273777,127.03633541001908,02-990-5792,2024-03-28,,2026-01-13,서울특별시_도봉구,ok
도봉 애견 미용앤호텔,309000004820240003,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 도봉동 ***-**,"서울특별시 도봉구 마들로 ***, ***호 (도봉동)",1323.0,37.67548877393769,127.04800099398004,02-954-9933,2024-06-25,,2026-01-13,서울특별시_도봉구,ok
뽀밍츄멍치원,309000004820250001,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 쌍문동 **-*,"서울특별시 도봉구 도봉로***길 **, ***호 (쌍문동)",1394.0,37.657764318612685,127.03731727223328,,2025-02-04,,2026-01-13,서울특별시_도봉구,ok
귀여운개최고,309000004820250002,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 방학동 ***-*,"서울특별시 도봉구 시루봉로 ***, *층 (방학동)",1382.0,37.65998108295237,127.02787799469544,,2025-04-16,,2026-01-13,서울특별시_도봉구,ok
온유,309000004820250003,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 방학동 ***-* ESA 아파트,"서울특별시 도봉구 도봉로***길 **, *층 ***,***,***호 (방학동, ESA 아파트)",1332.0,37.666467796093976,127.04559996742024,,2025-12-30,,2026-01-13,서울특별시_도봉구,ok
MOMO,310000004820180012,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 월계동 ***,"서울특별시 노원구 덕릉로**길 ***, *층 (월계동)",1871.0,37.64746,127.06837,070-8229-2525,2018-05-17,,2026-01-13,서울특별시_노원구,centroid_fallback
엔젤동물병원,310000004820180023,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 공릉동 ***-* 미래치과의원,서울특별시 노원구 동일로 **** (공릉동),1839.0,37.62850379450373,127.07187656454812,02-977-0275,2018-07-09,,2026-01-13,서울특별시_노원구,ok
수락동물병원,310000004820180048,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 ****-* 유성상가,서울특별시 노원구 동일로 **** (상계동),1630.0,37.67300670050045,127.05597289954052,02-937-9724,2018-07-24,,2026-01-13,서울특별시_노원구,ok
유림동물병원,310000004820180057,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 월계동 *** 월계아파트형공장,"서울특별시 노원구 월계로**길 **, 상가동 *층 (월계동)",1882.0,37.64746,127.06837,02-900-7710,2018-08-07,,2026-01-13,서울특별시_노원구,centroid_fallback
닥터스종합동물병원,310000004820180059,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 월계동 ***-** 상천빌딩,"서울특별시 노원구 월계로 ***, 상천빌딩 *층 (월계동)",1885.0,37.62914964289984,127.05784581077212,02-905-7588,2018-08-07,,2026-01-13,서울특별시_노원구,ok
카페멍스,310000004820180061,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 ***-** 대광빌딩,"서울특별시 노원구 상계로*길 **, 대광빌딩 *층 (상계동)",1693.0,37.65696363138856,127.06360868247734,02-933-7779,2018-08-10,,2026-01-13,서울특별시_노원구,ok
루피네,310000004820180065,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 ****-** 삼천리,"서울특별시 노원구 동일로***길 **, 삼천리 ***호 (상계동)",1607.0,37.6777457270149,127.05448380497326,02-933-9998,2018-11-02,,2026-01-13,서울특별시_노원구,ok
소담 살롱,310000004820190006,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 ***-**,"서울특별시 노원구 한글비석로**길 **, *층 (상계동)",1665.0,37.66355399290972,127.07207118306113,,2019-05-28,,2026-01-13,서울특별시_노원구,ok
아담스펫강아지&가필드고양이,310000004820190012,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 ***-* 노원위너스빌딩,"서울특별시 노원구 상계로 **, 노원위너스빌딩 *층 ***호 (상계동)",1691.0,37.657101873782686,127.0656563313801,,2019-06-13,,2026-01-13,서울특별시_노원구,ok
똑똑독,310000004820190015,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 ***-** 솔매빌라트,"서울특별시 노원구 한글비석로 ***, ***호 (상계동, 솔매빌라트)",1667.0,37.66218260520769,127.07019947961716,02-930-9997,2019-07-16,,2026-01-13,서울특별시_노원구,ok
멍플레이,310000004820190017,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 *** *층,"서울특별시 노원구 상계로 **-*, *층 (상계동)",1693.0,37.64746,127.06837,02-933-1456,2019-07-31,,2026-01-13,서울특별시_노원구,centroid_fallback
개다방,310000004820190018,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 **** ***호,"서울특별시 노원구 상계로*길 **, ***호 (상계동, 동양메이저아파트)",1692.0,37.64746,127.06837,02-933-1253,2019-08-20,,2026-01-13,서울특별시_노원구,centroid_fallback
도그마루 노원점,310000004820190024,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 ***-* 명석빌딩 ***호,"서울특별시 노원구 동일로 ****, 명석빌딩 ***호 (상계동)",1756.0,37.649559217006285,127.06227289063138,,2019-12-03,,2026-01-13,서울특별시_노원구,ok
개과천선,310000004820190026,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 ***-*,"서울특별시 노원구 노원로**길 **, 지하층 (상계동)",1704.0,37.6548960498761,127.06959908224236,,2019-12-18,,2026-01-13,서울특별시_노원구,ok
아이엠독,310000004820200012,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 ***-* 명지프라자빌딩 ***호,"서울특별시 노원구 동일로 ****, 명지프라자빌딩 ***호 (상계동)",1763.0,37.650417876858775,127.06126536764108,02-951-0907,2020-11-06,,2026-01-13,서울특별시_노원구,ok
개와커피가썸타는날(개썸커피),310000004820200017,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 ****-* 영빌딩 *층,"서울특별시 노원구 동일로***길 ***, 영빌딩 *층 (상계동)",1626.0,37.674847311954046,127.06152928092207,,2020-12-01,,2026-01-13,서울특별시_노원구,ok
웰리스 스퀘어,310000004820210002,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 중계동 ***-* 건영옴니백화점,"서울특별시 노원구 섬밭로 ***, 건영옴니백화점 *층 (중계동)",1779.0,37.638826734358425,127.0647544451985,02-978-4775,2021-02-03,,2026-01-13,서울특별시_노원구,ok
골드퍼피 애견유치원,310000004820210016,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 공릉동 ***-*,"서울특별시 노원구 동일로 ****, *층 (공릉동)",1848.0,37.62058343438196,127.07494293398378,02-971-5955,2021-12-23,,2026-01-13,서울특별시_노원구,ok
퍼피스,310000004820220001,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 **-**,"서울특별시 노원구 덕릉로***길 **, *층 (상계동)",1643.0,37.6717267896158,127.0830417139736,,2022-08-10,,2026-01-13,서울특별시_노원구,ok
늘봄반려견유치원,310000004820240001,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 ***-* 화인빌딩,"서울특별시 노원구 노원로 ***, 화인빌딩 *층 (상계동)",1691.0,37.658623108484505,127.06493049505218,,2024-01-11,,2026-01-13,서울특별시_노원구,ok
고양이묭실,310000004820240002,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 ****-*,"서울특별시 노원구 동일로***길 **, *층 ***호 (상계동)",1614.0,37.67322882523168,127.05127588857852,,2024-01-11,,2026-01-13,서울특별시_노원구,ok
퍼피데일리,310000004820240003,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 중계동 ***-**,"서울특별시 노원구 덕릉로**길 **, *층 (중계동)",1715.0,37.65843150215642,127.0763608820998,,2024-12-19,,2026-01-13,서울특별시_노원구,ok
먀먀 동물위탁,310000004820250001,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 **-**,"서울특별시 노원구 덕릉로***길 **, *층 (상계동)",1643.0,37.67159244910033,127.08269039404148,,2025-01-08,,2026-01-13,서울특별시_노원구,ok
