Name,Facility_ID,Category,BusinessStatus,Sido,Sigungu,Dong,LotNumber,RoadAddress,PostalCode,lat,lon,PhoneNumber,LicenseDate,ClosingDate,LastUpdated
한별 반려동물 장례식장,567000003820230001,5670000,영업/정상 / 정상,경상남도,창원시,창원시,경상남도 창원시 진해구 용원동 11 주식회사어울림,"경상남도 창원시 진해구 진해대로 2507, 주식회사어울림 (용원동)",51603,,,,2023-05-26,,2025-12-15 16:15:28
포포즈 반려동물 장례식장 세종점,569000003820170001,5690000,영업/정상 / 정상,세종특별자치시,부강면,부강면,세종특별자치시 부강면 부강리 658-2,세종특별자치시 부강면 시목부강로 620,30074,335509.98651911,233774.771556238,,2017-04-07,,2025-12-15 16:15:28
21그램 반려동물장례식장 세종점,569000003820210001,5690000,영업/정상 / 정상,세종특별자치시,장군면,장군면,세종특별자치시 장군면 금암리 88-1,세종특별자치시 장군면 정동길 76,30056,,,02-1688-1240,2021-12-20,,2026-03-06 21:02:51
반려마루 추모관,570000003820260001,5700000,영업/정상 / 정상,경기도,여주시,여주시,경기도 여주시 상거동 380-5,경기도 여주시 명품로 355 (상거동),12658,415254.367183502,254484.654364172,031-8030-4482,2026-01-23,,2026-03-10 21:32:52
러블리엔젤,571000003820150001,5710000,영업/정상 / 정상,충청북도,청주시,청주시,충청북도 청주시 서원구 남이면 구미리 233-1,충청북도 청주시 서원구 남이면 구미1길 37-47,28184,340702.899359058,234195.558123164,043-264-2666,2015-07-01,,2025-12-15 16:15:28
주식회사 21그램그룹,571000003820170001,5710000,영업/정상 / 정상,충청북도,청주시,청주시,충청북도 청주시 상당구 남일면 가중리 309-1,충청북도 청주시 상당구 남일면 신송서원길 120-30,28186,340591.573881207,243066.718829526,1688-1240,2017-05-09,,2026-01-16 22:32:41
어름비 반려동물 장례식장,651000003820250001,6510000,영업/정상 / 정상,제주특별자치도,제주시,제주시,제주특별자치도 제주시 애월읍 어음리 1983-1,"제주특별자치도 제주시 애월읍 어음13길 16, 14호",63038,-10449.5553581931,138957.574292692,064-799-7766,2025-12-18,,2025-12-20 03:00:03
㈜펫문,313000003820240001,3130000,영업/정상 / 정상,서울특별시,마포구,마포구,서울특별시 마포구 합정동 370-39,"서울특별시 마포구 성지5길 19, 3층 (합정동)",04083,449335.276023874,192328.293658557,02-322-1004,2024-12-09,,2025-12-15 16:15:28
파트라슈,340000003820140001,3400000,영업/정상 / 정상,부산광역시,기장군,기장군,부산광역시 기장군 장안읍 좌동리 49-1,부산광역시 기장군 장안읍 기장대로 1561-68,46029,205680.059610858,403916.835883097,051-723-2201,2014-10-02,,2025-12-15 16:15:28
아이별,340000003820200001,3400000,영업/정상 / 정상,부산광역시,기장군,기장군,부산광역시 기장군 장안읍 기룡리 240,부산광역시 기장군 장안읍 기룡길 11-33,46028,,,051-727-4499,2020-11-26,,2025-12-15 16:15:28
센트럴파크(주),340000003820210001,3400000,영업/정상 / 정상,부산광역시,기장군,기장군,부산광역시 기장군 일광읍 동백리 383-2,부산광역시 기장군 일광읍 차양길 175,46040,201766.778640086,404470.016765598,051-728-5411,2021-02-24,,2025-12-15 16:15:28
(주)동물사랑 대구러브펫,347000003820140001,3470000,영업/정상 / 정상,대구광역시,달서구,달서구,대구광역시 달서구 장동 50,대구광역시 달서구 문화회관9길 71 (장동),42699,,,053-593-4900,2014-03-26,,2025-12-15 16:15:28
어게인,356000003820200001,3560000,영업/정상 / 정상,인천광역시,서구,서구,인천광역시 서구 오류동 434-119 (주)어게인,"인천광역시 서구 원당대로262번길 40, (주)어게인 (오류동)",22669,453780.208427221,167029.775039625,,2020-02-14,,2025-12-15 16:15:28
(주)더포에버,356000003820200002,3560000,영업/정상 / 정상,인천광역시,서구,서구,인천광역시 서구 대곡동 361-2,인천광역시 서구 설원로 79 (대곡동),22600,458213.284379539,171201.092159873,031-713-5002,2020-12-18,,2025-12-15 16:15:28
아이드림펫,356000003820250001,3560000,영업/정상 / 정상,인천광역시,서구,서구,인천광역시 서구 오류동 434-114,인천광역시 서구 원당대로246번길 15 (오류동),22669,453932.109703748,167077.668397,,2025-10-14,,2025-12-15 16:15:28
(주) 하늘펫,363000003820160001,3630000,영업/정상 / 정상,광주광역시,광산구,광산구,광주광역시 광산구 지죽동 409-14,광주광역시 광산구 평동매화길 34 (지죽동),62413,182429.217366042,178024.850068869,062-946-2626,2016-05-10,,2025-12-15 16:15:28
(주)하늘정원,363000003820250001,3630000,영업/정상 / 정상,광주광역시,광산구,광산구,광주광역시 광산구 양동 684-4,광주광역시 광산구 체암로 1685-2 (양동),62407,183510.103879243,168606.826221001,062-714-2979,2025-01-03,,2025-12-15 16:15:28
(주)피케이프,334000003820160001,3340000,폐업 / 폐업,부산광역시,사하구,사하구,부산광역시 사하구 괴정동 1063-57,부산광역시 사하구 승학로233번길 87 (괴정동),49321,180325.868785672,381332.392893298,,2014-10-30,2017-07-19,2025-12-15 16:15:28
엘림펫,407000003820130001,4070000,폐업 / 폐업,경기도,이천시,이천시,경기도 이천시 마장면 장암리 525-1,경기도 이천시 마장면 이장로 329-2,17383,419797.301835013,234562.792371488,031-637-8582,2013-02-22,2017-01-09,2025-12-15 16:15:28
(주)반려동물 장례지원단,364000003820240001,3640000,영업/정상 / 정상,대전광역시,동구,동구,대전광역시 동구 이사동 290-2,대전광역시 동구 모암로 128-6 (이사동),34710,310488.828499818,239893.117173747,,2024-08-09,,2025-12-15 16:15:28
(주)젠틀펫,372000003820240001,3720000,영업/정상 / 정상,,,북구,울산광역시 북구 진장동 859,,,,,,2024-08-28,,2025-12-15 16:15:28
이별공간,373000003820190001,3730000,영업/정상 / 정상,울산광역시,울주군,울주군,울산광역시 울주군 삼동면 조일리 906-4,울산광역시 울주군 삼동면 삼동로 140,44956,224127.828384036,391006.556306155,,2019-03-12,,2025-12-15 16:15:28
주식회사 펫콤,393000003820220001,3930000,영업/정상 / 정상,경기도,안산시,안산시,경기도 안산시 단원구 목내동 517-9 동신엔지니어링,"경기도 안산시 단원구 엠티브이1로 159, 동신엔지니어링 (목내동)",15658,421505.250232757,179836.956103302,,2022-06-22,,2025-12-15 16:15:28
펫콤 안산점,393000003820240001,3930000,영업/정상 / 정상,경기도,안산시,안산시,경기도 안산시 상록구 양상동 42-12,경기도 안산시 상록구 서당길 10 (양상동),15208,428102.614803895,186341.408403056,1833-5158,2024-03-08,,2025-12-15 16:15:28
펫브릿지,393000003820240002,3930000,영업/정상 / 정상,경기도,안산시,안산시,경기도 안산시 단원구 원시동 770-3 신안산비즈스타복합지식산업센터,"경기도 안산시 단원구 산단로 232, 신안산비즈스타복합지식산업센터 7층 710호 (원시동)",15433,423815.131111617,181355.692340689,1670-2818,2024-12-23,,2025-12-15 16:15:28
(주)펫바라기,394000003820150001,3940000,영업/정상 / 정상,경기도,고양시,고양시,경기도 고양시 일산동구 설문동 515-1,경기도 고양시 일산동구 은마길63번길 25-2 (설문동),10252,467934.777096784,182813.35315607,031-976-3179,2015-11-11,,2025-12-15 16:15:28
구리 에이지펫,398000003820160001,3980000,취소/말소/만료/정지/중지 / 말소,경기도,구리시,구리시,경기도 구리시 토평동 711-1,경기도 구리시 장자호수길 76-141 (토평동),11961,453223.79773689,212560.19086135,,2016-12-13,,2025-12-15 16:15:28
몽몽이엠파크 반려동물장례식장,399000003820190001,3990000,영업/정상 / 정상,경기도,남양주시,남양주시,경기도 남양주시 화도읍 구암리 305,경기도 남양주시 화도읍 모꼬지로17번길 136,12192,,,1811-1336,2019-10-29,,2025-12-15 16:15:28
21그램 반려동물 장례식장 남양주점,399000003820230001,3990000,영업/정상 / 정상,경기도,남양주시,남양주시,경기도 남양주시 화도읍 차산리 856-1,경기도 남양주시 화도읍 수레로964번길 86,12199,458218.250832737,225555.794620331,1688-1240,2023-09-13,,2026-01-28 21:02:38
펫포레스트 반려동물장례식장 남양주점,399000003820240001,3990000,영업/정상 / 정상,경기도,남양주시,남양주시,경기도 남양주시 와부읍 월문리 114-1,"경기도 남양주시 와부읍 수레로 699, 지하1층",12202,457517.663786772,224338.315248368,,2024-08-22,,2025-12-15 16:15:28
리멤버반려동물장례식장,405000003820190001,4050000,영업/정상 / 정상,경기도,용인시,용인시,경기도 용인시 처인구 남사읍 방아리 883-3,경기도 용인시 처인구 남사읍 원암로 535,17123,400637.223872634,215230.979562112,,2019-04-15,,2026-01-07 21:32:40
전주 반려동물장례식장 아리움,464100003820220001,4641000,영업/정상 / 정상,전북특별자치도,전주시,전주시,전북특별자치도 전주시 완산구 효자동3가 1039-1,전북특별자치도 전주시 완산구 콩쥐팥쥐로 1705-44(효자동3가),54878,258325.128709741,207690.318389058,063-223-7942,2022-07-05,,2026-02-03 22:32:40
서래안 펫타운,467100003820210001,4671000,영업/정상 / 정상,전북특별자치도,군산시,군산시,전북특별자치도 군산시 경암동 570-39,"전북특별자치도 군산시 서래안1길 11, 2층 (경암동)",54031,275762.727569836,175138.614165966,,2021-11-25,,2025-12-15 16:15:28
포포즈 반려동물장례식장 용인점,405000003820200001,4050000,영업/정상 / 정상,경기도,용인시,용인시,경기도 용인시 처인구 양지읍 추계리 109-1,경기도 용인시 처인구 양지읍 중부대로2670번길 16-19,17163,,,,2020-01-14,,2026-01-30 21:32:40
꿈애,406000003820190001,4060000,취소/말소/만료/정지/중지 / 말소,경기도,파주시,파주시,경기도 파주시 광탄면 기산리 521 오류골,"경기도 파주시 광탄면 기산로186번길 9-46, 오류골",10953,,,1899-7822,2019-04-01,,2025-12-15 16:15:28
주식회사 21그램그룹,406000003820230001,4060000,휴업 / 휴업,경기도,파주시,파주시,경기도 파주시 광탄면 분수리 458,경기도 파주시 광탄면 수레길 302,10954,,,02-1688-1240,2023-03-30,,2026-01-17 21:32:40
주식회사 아리아펫,407000003820170001,4070000,영업/정상 / 정상,경기도,이천시,이천시,경기도 이천시 마장면 장암리 525-1,경기도 이천시 마장면 이장로 329-2,17383,419797.301835013,234562.792371488,031-635-2266,2017-02-16,,2025-12-15 16:15:28
안성펫문화원,408000003820240001,4080000,휴업 / 휴업,경기도,안성시,안성시,경기도 안성시 죽산면 당목리 704-1,경기도 안성시 죽산면 걸미로 391,17524,392758.238219879,238025.140787483,,2024-12-10,,2025-12-15 16:15:28
엔젤스톤,409000003820080002,4090000,영업/정상 / 정상,경기도,김포시,김포시,경기도 김포시 하성면 양택리 251-6,경기도 김포시 하성면 하성로 720,10008,470504.547442324,167305.185741877,031-981-0271,2013-07-12,,2025-12-15 16:15:28
펫포레스트 반려동물장례식장 김포점,409000003820080003,4090000,영업/정상 / 정상,경기도,김포시,김포시,경기도 김포시 통진읍 귀전리 167,경기도 김포시 통진읍 고정로 308,10010,,,,2008-11-07,,2025-12-15 16:15:28
포포즈 반려동물장례식장 김포점,409000003820170001,4090000,영업/정상 / 정상,경기도,김포시,김포시,경기도 김포시 월곶면 개곡리 810-1,경기도 김포시 월곶면 애기봉로 262,10003,469834.579843145,162519.985198036,1588-2888,2017-05-02,,2025-12-15 16:15:28
마스꼬다 휴 주식회사,409000003820170002,4090000,취소/말소/만료/정지/중지 / 말소,경기도,김포시,김포시,경기도 김포시 통진읍 귀전리 3-15,경기도 김포시 통진읍 애기봉로681번길 73-20,10010,469457.2746339,165905.426246007,,2017-12-20,,2025-12-15 16:15:28
주식회사 21그램그룹,409000003820180001,4090000,휴업 / 휴업,경기도,김포시,김포시,경기도 김포시 통진읍 귀전리 3-15,"경기도 김포시 통진읍 애기봉로681번길 73-20, 2동 1층",10010,469457.2746339,165905.426246007,02-1688-1240,2018-04-18,,2026-01-01 02:40:00
아이드림펫,409000003820180002,4090000,휴업 / 휴업,경기도,김포시,김포시,경기도 김포시 하성면 양택리 161-1,경기도 김포시 하성면 하성로 647,10008,469872.354665502,167118.161456354,,2018-07-13,,2025-12-15 16:15:28
ROYHILLS,417000003820230001,4170000,영업/정상 / 정상,경기도,양평군,양평군,경기도 양평군 양동면 삼산리 18,경기도 양평군 양동면 양동금곡4길 10,12540,,,1855-2004,2023-09-07,,2026-03-10 21:32:52
주식회사 패투헤븐,419000003820220001,4191000,영업/정상 / 정상,강원특별자치도,원주시,원주시,강원특별자치도 원주시 소초면 평장리 1048-1,"강원특별자치도 원주시 소초면 현촌길 90-3, 나동",26305,436424.270889243,288102.588981184,033-745-4211,2022-10-12,,2025-12-15 16:15:28
강릉펫사랑(장례식장),420000003820180001,4201000,영업/정상 / 정상,강원특별자치도,강릉시,강릉시,강원특별자치도 강릉시 사천면 석교리 779,강원특별자치도 강릉시 사천면 구라미길 376,25434,,,,2018-12-20,,2025-12-15 16:15:28
펫 메모리얼,426000003820200001,4261000,휴업 / 휴업,강원특별자치도,횡성군,횡성군,강원특별자치도 횡성군 공근면 초원리 109-16,강원특별자치도 횡성군 공근면 경강로초원6길 58,25209,446825.205893553,281990.211140203,1566-4379,2020-07-07,,2025-12-15 16:15:28
굿바이펫,440000003820120001,4400000,영업/정상 / 정상,충청북도,제천시,제천시,충청북도 제천시 봉양읍 장평리 37-1,충청북도 제천시 봉양읍 장평로 95,,,,043-642-1537,2012-12-13,,2025-12-15 16:15:28
대전 이별공간,443000003820200001,4430000,영업/정상 / 정상,충청북도,옥천군,옥천군,충청북도 옥천군 이원면 평계리 992-2 음식점,"충청북도 옥천군 이원면 이원로 47, 음식점",29064,298218.433673269,256461.768510781,,2020-11-09,,2025-12-15 16:15:28
스마일 어게인,444000003820200001,4440000,영업/정상 / 정상,충청북도,영동군,영동군,충청북도 영동군 추풍령면 작점리 148,충청북도 영동군 추풍령면 작동1길 81,29120,,,1544-9262,2020-07-15,,2026-01-07 17:26:50
21그램 반려동물 장례식장 천안아산점,565000003820140001,4490000,영업/정상 / 정상,충청남도,천안시,천안시,충청남도 천안시 동남구 구룡동 481,충청남도 천안시 동남구 광풍로 1668 (구룡동),31212,,,,2014-06-23,,2026-01-30 22:32:40
(주)좋은친구들,450000003820140001,4500000,영업/정상 / 정상,충청남도,공주시,,,충청남도 공주시 우성면 보흥2길 36-61,32533,,,,2014-09-24,,2025-12-15 16:15:28
리멤버파크,454000003820180002,4540000,영업/정상 / 정상,충청남도,논산시,논산시,충청남도 논산시 연산면 청동리 16,충청남도 논산시 연산면 계백로 2172-13,32911,,,041-735-1700,2020-07-24,,2025-12-15 16:15:28
예산 위드엔젤,461000003820130001,4610000,영업/정상 / 정상,,,예산군,충청남도 예산군 대술면 화산리 464-1,,,355233.070055972,192522.900602974,041-332-8787,2013-10-28,,2025-12-15 16:15:28
