Name,Facility_ID,Category,TaskType,BusinessStatus,Sido,Sigungu,Dong,LotNumber,RoadAddress,PostalCode,lat,lon,PhoneNumber,LicenseDate,ClosingDate,LastUpdated
coco puppy,308000004820190011,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 * 꿈의숲 롯데캐슬 ***동 *호,"서울특별시 강북구 오현로 **, ***동 *층 *호 (미아동, 꿈의숲 롯데캐슬)",01232,,,,2019-07-18,,2026-01-13 18:07:33
멍멍이발소,308000004820200001,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 **-**,서울특별시 강북구 삼양로 *** (수유동),01116,458670.791773799,201519.842226579,,2020-02-10,,2026-01-13 18:07:33
멍멍슈퍼,308000004820200003,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 *-**,"서울특별시 강북구 노해로*길 *-*, *층 (수유동)",01080,459486.388965633,201910.385984837,,2020-02-21,,2026-01-13 18:07:33
왈왈미용실,308000004820210002,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 **-** ***호,"서울특별시 강북구 수유로 **, ***호 (수유동)",01081,459236.700517134,201678.388399185,,2021-01-06,,2026-01-13 18:07:33
리리앤펫,308000004820220007,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 번동 ***-*,"서울특별시 강북구 한천로***길 **, *층 (번동)",01064,459507.057044616,202305.335482472,,2022-09-07,,2026-01-13 18:07:33
로엘유치원,308000004820220008,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-*,서울특별시 강북구 삼양로**길 *(수유동),01087,459431.81672979,201427.146857718,,2022-09-29,,2026-01-13 18:07:33
금천24시 K동물의료센터,317000004820180017,3170000,,폐업 / 폐업,서울특별시,금천구,금천구,서울특별시 금천구 시흥동 ***-* 도일산호시티빌 ***호,"서울특별시 금천구 시흥대로 ***, *층 ***호 (시흥동, 도일산호시티빌)",08614,439333.421297264,191041.238206348,02-808-2475,2018-09-18,2025-12-17,2026-01-13 18:10:02
멍토리니,308000004820230003,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-*** 미성빌딩,"서울특별시 강북구 삼양로 ***, 미성빌딩 *층 (수유동)",01099,458735.289986752,201481.83947529,,2023-09-14,,2026-01-13 18:07:33
멍아지트,308000004820240001,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 *** ***동 상가,"서울특별시 강북구 삼양로***길 **, ***동 상가 ***호 (수유동)",01042,,,,2024-04-18,,2026-01-13 18:07:33
놀멍쉬멍,308000004820240002,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-*,"서울특별시 강북구 노해로 ***, *층 (수유동)",01051,460346.646226001,202097.361195638,,2024-04-18,,2026-01-13 18:07:33
두두스테이,308000004820240003,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 ***-**,"서울특별시 강북구 삼양로 ***, *층 (미아동)",01189,457517.240823233,201756.36607377,,2024-04-18,,2026-01-13 18:07:33
애견유치원 왈스 강북점 반려견 교육,308000004820240004,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 ***-**,"서울특별시 강북구 도봉로**가길 **, *층 (미아동)",01161,457695.632011113,202457.819208424,,2024-05-01,,2026-01-13 18:07:33
스탠퍼독,308000004820240006,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,"서울특별시 강북구 수유동 ***-* 정도타운 *층, 지하*층","서울특별시 강북구 노해로**길 **-*, 정도타운 *층,지하*층 (수유동)",01050,460548.486918747,202058.763628643,,2024-08-27,,2026-01-13 18:07:33
멍멍멍,308000004820240008,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 ***-** *층 중간호,"서울특별시 강북구 도봉로**길 **, *층 중간호 (미아동)",01125,458270.064183957,202086.674996212,,2024-12-18,,2026-01-13 18:07:33
더이쁘개,308000004820250001,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-** 골든빌,"서울특별시 강북구 노해로**길 *, ***호 (수유동, 골든빌)",01049,460299.712091635,201978.515000865,,2025-01-08,,2026-01-13 18:07:33
도담도담(애견유치원/호텔),308000004820250002,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-* 은경빌딩,"서울특별시 강북구 한천로***길 **, 은경빌딩 *층 좌 ***호 (수유동)",01055,459967.551529814,202469.580025935,,2025-01-20,,2026-01-13 18:07:33
쓰다드멍,308000004820250003,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 ****-* 벽산라이브파크 상가,"서울특별시 강북구 솔샘로 ***, 벽산라이브파크 상가 ***호 (미아동)",01191,457533.770785984,200921.855251696,,2025-01-20,,2026-01-13 18:07:33
펫맘애,308000004820250004,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-**,서울특별시 강북구 덕릉로 **-* (수유동),01098,459059.746171097,201370.672446927,,2025-03-12,,2026-01-13 18:07:33
놀러오개 애견유치원 애견호텔 수유점,308000004820250005,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-* 씨엘빌딩 *층,"서울특별시 강북구 삼양로 ***, 씨엘빌딩 *층 (수유동)",01029,460569.684262904,201196.612951455,,2025-08-05,,2026-01-13 18:07:33
댕편한세상,317000004820240002,3170000,,폐업 / 폐업,서울특별시,금천구,금천구,서울특별시 금천구 독산동 ***-** 보성빌딩,"서울특별시 금천구 남부순환로 ****, 보성빌딩 ***, ***, ***호 (독산동)",08537,441905.793323945,191303.023494993,,2024-05-17,2025-12-18,2026-01-13 18:10:03
피치 앤 마리,308000004820250006,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-** 장미빌라 ***호,"서울특별시 강북구 삼양로***길 *, ***호 (수유동, 장미빌라)",01037,460497.774653157,201308.648345858,,2025-09-25,,2026-01-13 18:07:33
멍타임,308000004820250007,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-** *층,"서울특별시 강북구 한천로 ****, *층 (수유동)",01037,460561.665774363,201349.677927804,,2025-10-28,,2026-01-13 18:07:33
코코포레(coco foret),308000004820250008,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 우이동 **-*,서울특별시 강북구 삼양로***가길 ** (우이동),01009,460995.281762303,201002.332122636,,2025-12-02,,2026-01-13 18:07:33
365동물병원,309000004820180031,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 방학동 ***-** 영하빌딩,"서울특별시 도봉구 방학로 **, 영하빌딩 (방학동)",01335,462287.511552827,204021.391638685,02-6402-0365,2018-09-13,,2026-01-13 18:11:03
핑크퍼피(PINKPUPPY),309000004820190001,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 도봉동 ***-**,서울특별시 도봉구 시루봉로 *** (도봉동),01349,463179.690264357,203528.725008491,,2019-01-11,,2026-01-13 18:11:03
도그송,309000004820190010,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 창동 ***-** 돋을볕 *동 ***호,"서울특별시 도봉구 덕릉로**길 ***, *층 ***호 (창동, 돋을볕)",01457,460403.172902681,203422.840318623,02-900-9069,2019-06-27,,2026-01-13 18:11:03
사랑해줄개,309000004820200002,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 도봉동 ***-*,서울특별시 도봉구 도봉로 *** (도봉동),01307,463890.837689363,203868.297541736,,2020-02-05,,2026-01-13 18:11:03
두부네,309000004820200005,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 방학동 ***-** 북한산팰리스,"서울특별시 도봉구 도당로**길 *, ***동 *층 ***호 (방학동, 북한산팰리스)",01353,462707.406690661,203312.854022193,,2020-03-16,,2026-01-13 18:11:03
고놈들,309000004820200008,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 쌍문동 ***-**,"서울특별시 도봉구 우이천로 ***, *층 (쌍문동)",01452,460141.625292543,202629.214506495,,2020-03-31,,2026-01-13 18:11:03
waldog(왈독),309000004820200012,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 쌍문동 ***-*,"서울특별시 도봉구 노해로 ***, *층 (쌍문동)",01446,460677.914129806,202310.766419438,,2020-10-19,,2026-01-13 18:11:03
몽앤츄,309000004820210001,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 창동 ***-** 창동 SR스타빌 ***호,"서울특별시 도봉구 노해로**길 **-*, 창동 SR스타빌 ***호 (창동)",01405,461127.032385511,204090.260849332,,2021-01-05,,2026-01-13 18:11:03
삼이네멍치원,309000004820220002,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 방학동 ***,"서울특별시 도봉구 방학로 ***, *층 (방학동)",01390,,,,2022-06-28,,2026-01-13 18:11:03
고양이미용호텔_미야옹,309000004820220003,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 창동 ***-**,서울특별시 도봉구 덕릉로**가길 *(창동),01473,459496.654914097,203299.937724535,,2022-09-06,,2026-01-13 18:11:03
마벨켄넬,309000004820230001,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 도봉동 ***-**,"서울특별시 도봉구 도봉로***나길 **, *층 (도봉동)",01307,463838.644739736,203799.860392948,,2023-01-16,,2026-01-13 18:11:03
고양이 미용&호텔 뽀냥,309000004820230002,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 창동 ***-**,"서울특별시 도봉구 덕릉로 ***-*, *층 (창동)",01474,459782.042796016,203466.295698997,,2023-02-03,,2026-01-13 18:11:03
댕댕이 이쁘개,309000004820230003,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 쌍문동 ***-**,"서울특별시 도봉구 우이천로**길 **, *층 (쌍문동)",01379,460889.940609252,202165.628385398,,2023-02-17,,2026-01-13 18:11:03
마이 단독(My only&sweet dog),309000004820230005,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 창동 ***-* 창동점포주택,"서울특별시 도봉구 노해로 ***, *층 (창동)",01428,461048.634845982,203347.999913294,,2023-06-09,,2026-01-13 18:11:03
몽들레,309000004820230006,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 창동 ***-** 삼양빌라,"서울특별시 도봉구 노해로**나길 *, *층 ***호 (창동, 삼양빌라)",01403,461276.835399598,203877.458035267,,2023-10-24,,2026-01-13 18:11:03
주식회사 유엑스플러스포레스트,309000004820240001,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 창동 *-** 씨드큐브 창동,"서울특별시 도봉구 마들로**길 **, 씨드큐브 창동 비층 ***-*호 (창동)",01413,461347.878668101,204313.906829097,070-7733-8505,2024-01-24,,2026-01-13 18:11:03
도그포레,309000004820240002,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 창동 ***-**,서울특별시 도봉구 덕릉로**자길 ** (창동),01468,459830.77955644,203137.482343756,02-990-5792,2024-03-28,,2026-01-13 18:11:03
도봉 애견 미용앤호텔,309000004820240003,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 도봉동 ***-**,"서울특별시 도봉구 마들로 ***, ***호 (도봉동)",01323,463677.301853618,204165.178758226,02-954-9933,2024-06-25,,2026-01-13 18:11:03
뽀밍츄멍치원,309000004820250001,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 쌍문동 **-*,"서울특별시 도봉구 도봉로***길 **, ***호 (쌍문동)",01394,461709.631397514,203223.424388994,,2025-02-04,,2026-01-13 18:11:03
Bliss 강아지 유치원,318000004820240004,3180000,,폐업 / 폐업,서울특별시,영등포구,영등포구,서울특별시 영등포구 대림동 ***-**,"서울특별시 영등포구 시흥대로 ***-*, *층 (대림동)",07444,442871.749486384,191544.985670063,,2024-10-18,2025-01-10,2026-01-13 18:16:03
귀여운개최고,309000004820250002,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 방학동 ***-*,"서울특별시 도봉구 시루봉로 ***, *층 (방학동)",01382,461955.396212175,202390.43529139,,2025-04-16,,2026-01-13 18:11:03
온유,309000004820250003,3090000,,영업/정상 / 정상,서울특별시,도봉구,도봉구,서울특별시 도봉구 방학동 ***-* ESA 아파트,"서울특별시 도봉구 도봉로***길 **, *층 ***,***,***호 (방학동, ESA 아파트)",01332,462675.950480622,203953.833720651,,2025-12-30,,2026-01-13 18:11:03
MOMO,310000004820180012,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 월계동 ***,"서울특별시 노원구 덕릉로**길 ***, *층 (월계동)",01871,,,070-8229-2525,2018-05-17,,2026-01-13 18:10:33
엔젤동물병원,310000004820180023,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 공릉동 ***-* 미래치과의원,서울특별시 노원구 동일로 **** (공릉동),01839,458463.71179338,206275.365027124,02-977-0275,2018-07-09,,2026-01-13 18:10:33
수락동물병원,310000004820180048,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 ****-* 유성상가,서울특별시 노원구 동일로 **** (상계동),01630,463402.191962795,204868.610894882,02-937-9724,2018-07-24,,2026-01-13 18:10:33
유림동물병원,310000004820180057,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 월계동 *** 월계아파트형공장,"서울특별시 노원구 월계로**길 **, 상가동 *층 (월계동)",01882,,,02-900-7710,2018-08-07,,2026-01-13 18:10:33
닥터스종합동물병원,310000004820180059,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 월계동 ***-** 상천빌딩,"서울특별시 노원구 월계로 ***, 상천빌딩 *층 (월계동)",01885,458534.558853124,205036.765287976,02-905-7588,2018-08-07,,2026-01-13 18:10:33
카페멍스,310000004820180061,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 ***-** 대광빌딩,"서울특별시 노원구 상계로*길 **, 대광빌딩 *층 (상계동)",01693,461621.972977624,205543.432099527,02-933-7779,2018-08-10,,2026-01-13 18:10:33
루피네,310000004820180065,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 ****-** 삼천리,"서울특별시 노원구 동일로***길 **, 삼천리 ***호 (상계동)",01607,463928.107318353,204736.943204622,02-933-9998,2018-11-02,,2026-01-13 18:10:33
소담 살롱,310000004820190006,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 ***-**,"서울특별시 노원구 한글비석로**길 **, *층 (상계동)",01665,462353.971804118,206289.619304984,,2019-05-28,,2026-01-13 18:10:33
아담스펫강아지&가필드고양이,310000004820190012,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 ***-* 노원위너스빌딩,"서울특별시 노원구 상계로 **, 노원위너스빌딩 *층 ***호 (상계동)",01691,461637.438212638,205724.107695017,,2019-06-13,,2026-01-13 18:10:33
똑똑독,310000004820190015,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 ***-** 솔매빌라트,"서울특별시 노원구 한글비석로 ***, ***호 (상계동, 솔매빌라트)",01667,462201.637451758,206124.584842578,02-930-9997,2019-07-16,,2026-01-13 18:10:33
멍플레이,310000004820190017,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 *** *층,"서울특별시 노원구 상계로 **-*, *층 (상계동)",01693,,,02-933-1456,2019-07-31,,2026-01-13 18:10:33
개다방,310000004820190018,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 **** ***호,"서울특별시 노원구 상계로*길 **, ***호 (상계동, 동양메이저아파트)",01692,,,02-933-1253,2019-08-20,,2026-01-13 18:10:33
도그마루 노원점,310000004820190024,3100000,,영업/정상 / 정상,서울특별시,노원구,노원구,서울특별시 노원구 상계동 ***-* 명석빌딩 ***호,"서울특별시 노원구 동일로 ****, 명석빌딩 ***호 (상계동)",01756,460800.073453941,205426.093098282,,2019-12-03,,2026-01-13 18:10:33
