Name,Facility_ID,Category,BusinessStatus,BusinessStatusDetail,Sido,Sigungu,Dong,LotNumber,RoadAddress,PostalCode,lat,lon,PhoneNumber,LicenseDate,ClosingDate,LastUpdated
하늘 동물병원,313000001020100002,3130000,폐업,폐업,서울특별시,마포구,마포구,서울특별시 마포구 망원동 338-76 1층,"서울특별시 마포구 포은로 64 (망원동,1층)",,450074.083675879,191672.343775132,,2012-01-03,,2025-12-15 16:15:28
메세나프렌즈 동물병원,313000001020130002,3130000,폐업,폐업,서울특별시,마포구,마포구,서울특별시 마포구 서교동 490 메사나폴리스 비동 101호,서울특별시 마포구 양화로 45 (서교동),04036,,,,2013-03-29,,2025-12-15 16:15:28
신촌동물병원,313000001020140001,3130000,폐업,폐업,서울특별시,마포구,마포구,서울특별시 마포구 노고산동 31-2,서울특별시 마포구 신촌로 108 (노고산동),04101,450321.511793847,194439.905305796,02-704-1800,2014-02-10,,2025-12-15 16:15:28
신촌동물병원,313000001020140005,3130000,폐업,폐업,서울특별시,마포구,마포구,서울특별시 마포구 노고산동 31-2,"서울특별시 마포구 신촌로 108, 1층 (노고산동)",04101,450321.511793847,194439.905305796,,2014-05-16,,2025-12-15 16:15:28
24시 산들산들 동물병원,313000001020150002,3130000,폐업,폐업,서울특별시,마포구,,,"서울특별시 마포구 마포대로16길 7, 2층 (아현동)",04205,,,,2015-11-30,,2025-12-15 16:15:28
고려종합동물병원,315000001020030001,3150000,폐업,폐업,서울특별시,강서구,강서구,서울특별시 강서구 가양동 814 28통3반 방화5단지아파트 503동 617호,"서울특별시 강서구 양천로57길 10-20 (가양동, 이스타빌Ⅰ)",07526,,,36618200,2003-05-02,,2025-12-15 16:15:28
호서동물의료센터,315000001020050011,3150000,폐업,폐업,서울특별시,강서구,강서구,서울특별시 강서구 등촌동 42-23,"서울특별시 강서구 강서로 420 (등촌동, 서울호서전문학교)",07583,,,36621870,2005-12-20,,2025-12-15 16:15:28
펫가든 동물병원,315000001020140002,3150000,폐업,폐업,서울특별시,강서구,강서구,서울특별시 강서구 방화동 19통1반 비잔티움 상동 이스트타워 2504호,"서울특별시 강서구 하늘길 38 (방화동, 스카이시티)",07505,,,02-6116-1775,2014-08-27,,2025-12-15 16:15:28
우장산 동물의료센터,315000001020180001,3150000,폐업,폐업,서울특별시,강서구,강서구,서울특별시 강서구 내발산동 702-16,"서울특별시 강서구 강서로 282, 1층 (내발산동)",07680,449861.780286583,185490.394238292,26648275,2018-01-18,,2025-12-15 16:15:28
종합동물병원 Pet Together,319000001020020002,3190000,폐업,폐업,서울특별시,동작구,동작구,서울특별시 동작구 상도동 210-124 지하1층,"서울특별시 동작구 양녕로 184-1 (상도동,지하1층)",,443949.118691998,194936.558861676,02-822-3459,2002-12-02,,2025-12-15 16:15:28
흑석동물병원,319000001020100004,3190000,폐업,폐업,서울특별시,동작구,동작구,서울특별시 동작구 흑석동 8-32,서울특별시 동작구 현충로 100 (흑석동),06979,445056.759115545,196801.359624316,02-817-0025,2010-05-26,,2025-12-15 16:15:28
스마트 동물 외과 클리닉,322000001020130009,3220000,폐업,폐업,서울특별시,강남구,강남구,서울특별시 강남구 신사동 587-13 지하 1층,"서울특별시 강남구 도산대로 지하 213, 1층 (신사동)",,446499.582136322,202580.58909147,,2013-10-31,,2025-12-15 16:15:28
KYH웰빙동물병원,323000001020070003,3230000,폐업,폐업,서울특별시,송파구,송파구,서울특별시 송파구 잠실동 252-6 태영빌딩,"서울특별시 송파구 삼전로 85, 태영빌딩 1층 (잠실동)",05566,444896.052713179,207821.75333223,,2007-03-14,,2026-01-13 14:57:15
필립동물병원,324000001020060007,3240000,폐업,폐업,,,강동구,서울특별시 강동구 명일동 343-7,,,449385.82250249,212812.958062523,,2006-10-18,,2025-12-15 16:15:28
서울동물메디컬센터,324000001020100002,3240000,폐업,폐업,서울특별시,강동구,강동구,서울특별시 강동구 둔촌동 486-7 준영빌딩,"서울특별시 강동구 양재대로 1410, 준영빌딩 (둔촌동)",05363,447735.96347404,212141.089359972,02-457-0075,2010-04-30,,2025-12-15 16:15:28
아프리카동물병원,324000001020120001,3240000,폐업,폐업,서울특별시,강동구,,,"서울특별시 강동구 아리수로 421, 101호 (강일동, MIDC빌딩)",05211,,,,2019-03-29,,2025-12-15 16:15:28
리더스동물병원,333000001020060001,3330000,폐업,폐업,부산광역시,해운대구,해운대구,부산광역시 해운대구 좌동 1479-3 세종월드프라자 301호,"부산광역시 해운대구 해운대로 814, 301호 (좌동)",48111,187771.511373596,398330.516530402,,2006-01-10,,2025-12-15 16:15:28
금정동물병원,335000001020130004,3350000,폐업,폐업,부산광역시,금정구,금정구,부산광역시 금정구 장전동 576-3,부산광역시 금정구 금강로 188 (장전동),46300,193754.105543036,389507.011437962,,2022-10-24,,2025-12-15 16:15:28
조은 동물병원,346000001020110004,3460000,폐업,폐업,대구광역시,수성구,수성구,대구광역시 수성구 만촌동 1039-1,대구광역시 수성구 달구벌대로 2562 (만촌동),,263310.778569145,348332.658442153,,2011-08-04,,2025-12-15 16:15:28
다정동물병원,348000001020030007,3480000,폐업,폐업,,,달성군,대구광역시 달성군 화원읍 천내리 445-2,,,,,,2003-01-15,,2025-12-15 16:15:28
펫츠나라동물병원,355000001020100002,3550000,폐업,폐업,,,계양구,인천광역시 계양구 계산동 1071-2 원신빌딩 1층,,,,,,2010-12-03,,2025-12-15 16:15:28
한마음동물병원,356000001020030003,3560000,폐업,폐업,,,서구,인천광역시 서구 마전동 검단1지구 45블록 1롯트 이지프라자 112호,,,,,,2003-11-04,,2025-12-15 16:15:28
검단종합동물병원,356000001020050002,3560000,폐업,폐업,,,서구,인천광역시 서구 마전동 582-33 1층,,,,,032-563-8579,2005-10-18,,2025-12-15 16:15:28
삼성종합동물병원,356000001020060001,3560000,폐업,폐업,인천광역시,서구,서구,인천광역시 서구 석남동 579-3,인천광역시 서구 건지로 269 (석남동),,444191.01947886,170940.84012012,032-573-0079,2006-02-21,,2025-12-15 16:15:28
쿨펫동물병원(가좌점),356000001020170006,3560000,폐업,폐업,인천광역시,서구,서구,인천광역시 서구 가좌동 118 홈플러스 가좌점,인천광역시 서구 가정로151번길 11 (가좌동),22832,,,,2021-12-27,,2025-12-15 16:15:28
베테랑 동물병원(청라지점),356000001020210001,3560000,폐업,폐업,인천광역시,서구,서구,인천광역시 서구 청라동 96-7 청라레이크봄,"인천광역시 서구 청라한내로100번길 8-28, 청라레이크봄 1층 123, 124호 (청라동)",22758,447961.230210056,167265.754629528,,2021-03-02,,2025-12-15 16:15:28
엔젤동물병원,362000001020100001,3620000,폐업,폐업,광주광역시,북구,북구,광주광역시 북구 두암동 927-1,광주광역시 북구 삼정로 95 (두암동),,185704.245,194205.75,,2012-12-24,,2025-12-15 16:15:28
중앙동물병원,364000001020040003,3640000,폐업,폐업,대전광역시,동구,동구,대전광역시 동구 용전동 146-22,대전광역시 동구 계족로 485-2 (용전동),34544,317232.399136674,238742.542550304,042-626-8848,1989-08-21,,2025-12-15 16:15:28
가장동물병원,366000001020030005,3660000,폐업,폐업,대전광역시,서구,서구,대전광역시 서구 가장동 42-3,대전광역시 서구 도산로 280 (가장동),,314595.725491795,234503.24037767,,2003-12-06,,2025-12-15 16:15:28
한사랑 동물병원,370000001020060004,3700000,폐업,폐업,울산광역시,남구,남구,울산광역시 남구 무거동 617-3 1층,"울산광역시 남구 대학로 112 (무거동,1층)",,229569.09798048,404963.133715184,,2006-04-19,,2025-12-15 16:15:28
동울산동물병원,371000001019930001,3710000,폐업,폐업,울산광역시,동구,동구,울산광역시 동구 전하동 668-17,울산광역시 동구 방어진순환도로 737 (전하동),44047,225822.569056713,420385.523650131,052-235-0458,1993-07-01,,2025-12-15 16:15:28
위드 종합동물병원,371000001020050001,3710000,폐업,폐업,울산광역시,동구,동구,울산광역시 동구 서부동 181-3,울산광역시 동구 방어진순환도로 947 (서부동),44026,227826.366174322,420613.706910586,,2005-02-07,,2025-12-15 16:15:28
인계종합동물병원,374000001020100003,3740000,폐업,폐업,경기도,수원시,수원시,경기도 수원시 팔달구 인계동 1116-4 꿈에그린 102동 101호,경기도 수원시 팔달구 효원로307번길 87 (인계동),16488,418093.594516366,203176.825364318,,2010-06-01,,2025-12-15 16:15:28
펫플러스 동물병원,378000001020090003,3780000,폐업,폐업,경기도,성남시,성남시,경기도 성남시 분당구 정자동 17-1 젤존타워1 117호,"경기도 성남시 분당구 느티로 16, 젤존타워1 117호 (정자동)",13558,429572.831324256,209344.872072563,,2009-04-16,,2025-12-15 16:15:28
튼튼동물병원,378000001020100003,3780000,폐업,폐업,경기도,성남시,성남시,경기도 성남시 분당구 야탑동 533-7 중앙퍼지마트 101호,"경기도 성남시 분당구 판교로 443, 중앙퍼지마트 101호 (야탑동)",13522,433746.144125071,210829.738772429,,2010-03-20,,2025-12-15 16:15:28
프라임 동물병원,378000001020100007,3780000,폐업,폐업,경기도,성남시,성남시,경기도 성남시 분당구 운중동 948 스타타워 106호,"경기도 성남시 분당구 운중로 118, 106호 (운중동,스타타워)",,,,80179975,2010-10-04,,2025-12-15 16:15:28
Wellness Clinic 동물병원,378000001020110004,3780000,폐업,폐업,경기도,성남시,성남시,경기도 성남시 분당구 정자동 211,경기도 성남시 분당구 불정로 134 (정자동),13605,,,,2011-03-24,,2025-12-15 16:15:28
태평역 동물병원,378000001020120007,3780000,폐업,폐업,경기도,성남시,성남시,경기도 성남시 수정구 태평동 6513 삼능스페이스향 104호,"경기도 성남시 수정구 성남대로 1238, 104호 (태평동, 삼능스페이스향)",13311,,,,2012-07-06,,2025-12-15 16:15:28
동물병원루니,378000001020130005,3780000,폐업,폐업,경기도,성남시,성남시,"경기도 성남시 분당구 금곡동 143 성원상가1,2층","경기도 성남시 분당구 미금로 251, 112,201,202,203호 (금곡동, 성원상가)",13618,,,,2013-03-18,,2025-12-15 16:15:28
열린펫동물병원,382000001019990001,3820000,폐업,폐업,경기도,의정부시,의정부시,경기도 의정부시 의정부동 94-6,경기도 의정부시 태평로 52 (의정부동),,470504.222825581,204484.80585177,,1999-02-01,,2025-12-15 16:15:28
메디케어동물병원,386000001020040005,3860000,폐업,폐업,,,부천시,경기도 부천시 원미구 상동 412-1,,,443102.709397873,178116.472342723,,2004-02-27,,2025-12-15 16:15:28
쿨펫동물병원 안산고잔점,393000001020110001,3930000,폐업,폐업,경기도,안산시,안산시,경기도 안산시 단원구 고잔동 707-2 홈플러스 3층,"경기도 안산시 단원구 광덕대로 175 (고잔동,홈플러스 3층)",,423338.223688148,184766.070784522,,2011-02-03,,2025-12-15 16:15:28
튼튼동물병원,401000001020020003,4010000,폐업,폐업,경기도,시흥시,시흥시,경기도 시흥시 배곧동 191 시흥배곧 C1블럭 호반 써밋플레이스 아파트,"경기도 시흥시 서울대학로278번길 19-13, 114~115호 (배곧동, 시흥배곧 C1블럭 호반 써밋플레이스 아파트)",15010,,,031-431-8775,2002-04-17,,2025-12-15 16:15:28
장곡종합동물병원,401000001020090002,4010000,폐업,폐업,경기도,시흥시,시흥시,경기도 시흥시 장곡동 814-3 (1층),"경기도 시흥시 진말로19번길 16-1 (장곡동,(1층))",,430819.204097109,180776.400881136,031-317-4567,2009-05-13,,2025-12-15 16:15:28
한빛동물병원,564000001020090004,4050000,폐업,폐업,경기도,용인시,용인시,경기도 용인시 수지구 성복동 129-1 플러스메디칼센타 111호,"경기도 용인시 수지구 성복2로 114, 111호 (성복동,플러스메디칼센타)",,423783.670257957,206444.574176723,031-264-1997,2009-07-14,,2025-12-15 16:15:28
서울동물병원,409000001019790001,4090000,폐업,폐업,,,김포시,경기도 김포시 통진읍 마송리 164-2,,,465657.51946185,163803.333704767,,1979-07-14,,2025-12-15 16:15:28
한강동물병원,409000001020130002,4090000,폐업,폐업,경기도,김포시,김포시,경기도 김포시 장기동 1609,경기도 김포시 김포한강4로 113 (장기동),10083,,,,2013-11-11,,2025-12-15 16:15:28
춘천철원축협동물병원,418000001020050001,4181000,폐업,폐업,강원특별자치도,춘천시,춘천시,강원특별자치도 춘천시 후평동 244-34,강원특별자치도 춘천시 후석로440번길 10 (후평동),24232,487577.815703786,265400.35106042,033-252-3205,2005-07-11,,2025-12-15 16:15:28
영서가축병원,419000001020140001,4191000,폐업,폐업,강원특별자치도,원주시,원주시,강원특별자치도 원주시 중앙동 43-2,강원특별자치도 원주시 평원로 67 (중앙동),26428,428142.85725411,284112.256822708,033-743-5654,2014-01-02,,2025-12-15 16:15:28
목도 동물병원,446000001019870002,4460000,폐업,폐업,,,괴산군,충청북도 괴산군 불정면 목도리 296-7,,,374853.338018791,276072.20937677,,1987-02-13,,2025-12-15 16:15:28
S&amp;P Bio,565000001020160004,4490000,폐업,폐업,충청남도,천안시,천안시,충청남도 천안시 동남구 목천읍 운전리 368-17,충청남도 천안시 동남구 목천읍 남부대로 1012,31234,363360.195986821,220049.183157217,,2016-09-20,,2025-12-15 16:15:28
드림동물병원,565000001020190001,4490000,폐업,폐업,충청남도,천안시,천안시,충청남도 천안시 동남구 신방동 1674,충청남도 천안시 동남구 통정12로 95 (신방동),31205,,,041-572-7582,2019-01-28,,2026-01-17 22:32:00
천안동물의료센터,566000001020130004,4490000,폐업,폐업,충청남도,천안시,천안시,충청남도 천안시 서북구 쌍용동 494-17 우리척병원 102호,"충청남도 천안시 서북구 충무로 155, 우리척병원 1층 102호 (쌍용동)",31174,365848.847068219,211044.085744981,041-575-5000,2013-11-08,,2025-12-15 16:15:28
유구,450000001020030013,4500000,폐업,폐업,충청남도,공주시,공주시,충청남도 공주시 유구읍 석남리 275-10,충청남도 공주시 유구읍 중앙1길 88,32506,339041.291251753,195555.616425175,,2003-06-25,,2026-01-13 14:56:58
녹십자동물병원,457000001019950001,4570000,폐업,폐업,충청남도,부여군,부여군,충청남도 부여군 부여읍 구아리 141-5,충청남도 부여군 부여읍 성왕로 202-3,33145,309081.702031859,191847.170451837,041-835-2879,1995-11-09,,2025-12-15 16:15:28
더펫동물병원,464100001020160002,4641000,폐업,폐업,전북특별자치도,전주시,전주시,전북특별자치도 전주시 덕진구 인후동1가 948-3,전북특별자치도 전주시 덕진구 한배미1길 61 (인후동1가),55030,258088.625092956,215097.284232294,063-247-7566,2016-02-29,,2025-12-15 16:15:28
제일동물병원,469100001019640001,4691000,폐업,폐업,,,정읍시,전북특별자치도 정읍시 수성동 574-9,,,229753.949918305,186678.188959898,,1964-08-01,,2025-12-15 16:15:28
정읍축산동물병원,469100001019760001,4691000,폐업,폐업,전북특별자치도,정읍시,정읍시,전북특별자치도 정읍시 고부면 고부리 41-4 은동물병원 수정,전북특별자치도 정읍시 고부면 영주로 582-9,56151,234998.06706721,179359.503892681,,1976-12-31,,2025-12-15 16:15:28
한솔동물병원,469100001020210002,4691000,폐업,폐업,전북특별자치도,정읍시,정읍시,전북특별자치도 정읍시 연지동 351-2,전북특별자치도 정읍시 충정로 363(연지동),56159,230830.675050672,186004.568760204,,2021-10-08,,2025-12-15 16:15:28
동문병원,470100001019730002,4701000,폐업,폐업,전북특별자치도,남원시,남원시,전북특별자치도 남원시 하정동 118-4,전북특별자치도 남원시 남문로 435 (하정동),55763,211958.288377793,234345.407381543,,1973-06-11,,2025-12-15 16:15:28
대영동물병원,472100001020180001,4721000,폐업,폐업,전북특별자치도,완주군,완주군,전북특별자치도 완주군 용진읍 신지리 877 덕천하이트아파트 104동 106호,"전북특별자치도 완주군 용진읍 가목길 21, 104동 1층 6호 (덕천하이트아파트)",55350,,,,2018-11-21,,2025-12-15 16:15:28
협동동물병원,492000001020050001,4920000,폐업,폐업,전라남도,강진군,강진군,전라남도 강진군 강진읍 남성리 5-7,전라남도 강진군 강진읍 영랑로 30,59233,126721.243364648,178708.711483613,,2005-01-11,,2025-12-15 16:15:28
장수의과산업동물병원,505000001019820001,5050000,폐업,폐업,경상북도,경주시,경주시,경상북도 경주시 서면 도계리 24,경상북도 경주시 서면 내서로 500,38053,,,,1982-02-02,,2025-12-15 16:15:28
김혜영동물병원,508000001020010001,5080000,폐업,폐업,,,구미시,경상북도 구미시 원평동 337-15,,,292857.409888355,320363.477878816,054-457-1975,2001-10-24,,2026-03-10 21:32:26
지혜동물병원,508000001020080001,5080000,폐업,폐업,,,구미시,경상북도 구미시 선산읍 동부리 451-17,,,305480.659830282,317044.958869469,,2008-05-19,,2026-03-10 21:32:34
도그플러스,508000001020190002,5080000,폐업,폐업,경상북도,구미시,구미시,경상북도 구미시 광평동 792-21 홈플러스 구미광평점,"경상북도 구미시 구미대로 174, 홈플러스 구미광평점 2층 (광평동)",39347,290001.107358242,322735.286027559,054-462-0075,2019-04-18,,2026-03-10 21:32:42
김진용 동물병원,511000001020150004,5110000,폐업,폐업,경상북도,상주시,상주시,경상북도 상주시 낙양동 13-5,경상북도 상주시 경상대로 3004 (낙양동),37200,324421.492526487,303203.811182137,,2015-09-03,,2025-12-15 16:15:28
KEPC 동물병원,513000001020110001,5130000,폐업,폐업,경상북도,경산시,경산시,경상북도 경산시 옥산동 852-2,경상북도 경산시 성암로11길 1-19 (옥산동),38672,259636.613700023,355504.590851251,,2011-01-31,,2026-03-10 21:32:34
해오름동물병원,531000001020060001,5310000,폐업,폐업,경상남도,진주시,진주시,경상남도 진주시 금산면 중천리 276-12,경상남도 진주시 금산면 중천로 39,,191509.064571643,303913.870407625,,2006-04-04,,2026-03-10 21:32:37
펫프렌즈동물병원(진주),531000001020090002,5310000,폐업,폐업,경상남도,진주시,진주시,경상남도 진주시 인사동 3 이마트 2층,"경상남도 진주시 진양호로 477 (인사동,이마트 2층)",,,,055-746-3375,2009-07-16,,2026-03-10 21:32:41
마음든 동물병원,531000001020220001,5310000,폐업,폐업,경상남도,진주시,진주시,경상남도 진주시 가좌동 2064-2 율곡스퀘어 프런티어,"경상남도 진주시 관문로 7, 율곡스퀘어 프런티어 (가좌동)",52860,184243.196934861,301691.987946763,,2022-02-25,,2026-03-10 21:32:47
해양수산동물병원,533000001019920001,5330000,폐업,폐업,경상남도,통영시,통영시,경상남도 통영시 정량동 1370-5,경상남도 통영시  동호로  46-8 (정량동),,150390.850176871,330917.854687833,055-643-6667,1992-07-03,,2025-12-15 16:15:28
문기근가축병원,534000001019640001,5340000,폐업,폐업,,,사천시,경상남도 사천시 용현면 선진리 116,,,,,,1964-07-03,,2025-12-15 16:15:28
서해동물의료센터,356000001020260001,3560000,영업/정상,정상,인천광역시,서구,서구,인천광역시 서구 검암동 627-1 205호,"인천광역시 서구 승학로 470, 2층 205호 (검암동)",22696,451311.757117345,171088.815935302,032-710-3412,2026-02-20,,2026-02-25 22:32:02
에이펙스 홀스 클리닉,397000001020260001,3970000,영업/정상,정상,경기도,과천시,과천시,경기도 과천시 별양동 1-17 과천타워 지하2호,"경기도 과천시 별양상가1로 10, 과천타워 지하층 2호 (별양동)",13837,436093.052420272,199221.861086765,,2026-02-19,,2026-02-21 21:02:01
뿌리동물병원,495000001020260001,4950000,영업/정상,정상,전라남도,무안군,무안군,전라남도 무안군 무안읍 성남리 319-1,전라남도 무안군 무안읍 하마로 16,58529,165198.002157405,151759.860766815,,2026-03-03,,2026-03-04 22:32:04
24시드림종합동물병원,535000001020120001,5350000,폐업,폐업,경상남도,김해시,,,"경상남도 김해시 호계로 483, 2층 (동상동)",50921,,,055-335-8800,2012-06-28,,2026-03-10 21:32:39
장유포근한동물병원,535000001020130001,5350000,폐업,폐업,경상남도,김해시,김해시,경상남도 김해시 무계동 183-3,경상남도 김해시 장유로 286 (무계동),51000,190494.580518986,365087.169188666,055-334-7588,2013-03-08,,2026-03-10 21:32:40
퇴촌동물병원,554000001020070003,5540000,폐업,폐업,경기도,광주시,광주시,경기도 광주시 퇴촌면 도수리 331-1,경기도 광주시 퇴촌면 천진암로 447,12711,440655.009513477,228158.981005897,,2007-10-01,,2026-01-13 14:56:53
삼진가축병원,567000001019671001,5670000,폐업,폐업,경상남도,창원시,창원시,경상남도 창원시 마산합포구 진동면 진동리 467,경상남도 창원시 마산합포구 진동면 삼진의거대로 634-71,51792,,,055-271-2050,1967-03-03,,2025-12-15 16:15:28
쿨펫동물병원 여주점,411000001020100003,5700000,폐업,폐업,,,여주시,경기도 여주시 홍문동 384-1 이마트 1층,,,420406.438944007,256448.248498212,,2010-04-13,,2025-12-15 16:15:28
강아지와고양이동물병원,411000001020120003,5700000,폐업,폐업,경기도,여주시,여주시,경기도 여주시 북내면 가정리 458-1,경기도 여주시 북내면 강문로 117,12615,422119.232480029,260433.160780739,031-883-5199,2016-01-19,,2025-12-15 16:15:28
청주24시 동물병원,572500001020082003,5710000,폐업,폐업,충청북도,청주시,청주시,충청북도 청주시 서원구 사직동 597-35 백현마을 서해그랑블 2608동 1903호,충청북도 청주시 서원구 사직대로 256 (사직동),28651,348334.128435638,242490.408481701,,2008-12-05,,2025-12-15 16:15:28
우리들외과동물의료센터,341000001020260001,3410000,영업/정상,정상,대구광역시,중구,중구,대구광역시 중구 삼덕동2가 295-1,대구광역시 중구 달구벌대로 2199 (삼덕동2가),41948,263747.153987442,344810.223828702,053-716-4488,2026-03-04,,2026-03-06 22:02:02
별내품은동물병원,399000001020260001,3990000,영업/정상,정상,경기도,남양주시,남양주시,경기도 남양주시 별내동 1150-1,"경기도 남양주시 식송1로 184, 1층 (별내동)",12099,462467.114994478,209860.021675984,,2026-03-09,,2026-03-10 21:02:08
청량리 슬기 동물병원,305000001020240001,3050000,영업/정상,정상,서울특별시,동대문구,동대문구,서울특별시 동대문구 전농동 620-15 청량리역 우남SL타워300,"서울특별시 동대문구 왕산로 186, 청량리역 우남SL타워300 218, 219호 (전농동)",02559,453023.128996239,203816.673034515,02-3293-7582,2024-11-21,,2025-12-15 16:15:28
이즈 동물병원,305000001020250001,3050000,영업/정상,정상,서울특별시,동대문구,동대문구,서울특별시 동대문구 이문동 257-42 래미안라그란데아파트,"서울특별시 동대문구 이문로35길 12, 상가 C동 102호 (이문동, 래미안라그란데아파트)",02404,455308.651763587,205249.265435832,02-2138-0514,2025-02-12,,2025-12-15 16:15:28
아이랑 동물병원,305000001020250002,3050000,영업/정상,정상,서울특별시,동대문구,동대문구,서울특별시 동대문구 이문동 257-42 래미안라그란데아파트,"서울특별시 동대문구 이문로35길 12, 상가 A동 101호 (이문동, 래미안라그란데아파트)",02404,455308.651763587,205249.265435832,,2025-03-04,,2025-12-15 16:15:28
태능동물병원,306000001019910001,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 묵동 175-2 3층,"서울특별시 중랑구 동일로 920, 3층 (묵동)",02033,456698.48946494,206780.207620819,02-973-1953,1991-11-30,,2026-02-05 22:32:00
보람동물병원,306000001019950001,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 면목동 353-4,서울특별시 중랑구 면목로 269 (면목동),02240,452751.137837689,207505.353493377,,1995-08-02,,2025-12-15 16:15:28
엔젤동물병원,306000001019960001,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 면목동 102-51,서울특별시 중랑구 겸재로 187 (면목동),02161,454057.837624796,207735.456233727,,1996-03-26,,2025-12-15 16:15:28
홍상희동물병원,306000001019970001,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 묵동 239-76,"서울특별시 중랑구 동일로 899, 1층 (묵동)",02006,456484.166451356,206763.653496703,,1997-03-17,,2025-12-15 16:15:28
하스펫탈동물병원,306000001020000001,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 면목동 225-7,"서울특별시 중랑구 면목로 442-1, 1층 (면목동)",02160,454365.747238549,207610.403324186,,2000-02-29,,2025-12-15 16:15:28
신내동물병원,306000001020000002,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 중화동 11-36 삼일시티빌 1층,"서울특별시 중랑구 봉화산로 103, 1층 (중화동, 삼일시티빌)",02048,455602.490288206,207499.721342162,34220001,2000-07-21,,2025-12-15 16:15:28
진정훈동물병원,306000001020010003,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 중화동 305-44 유정빌딩,"서울특별시 중랑구 봉화산로 39-1, 유정빌딩 2층 (중화동)",02017,455496.619419948,206886.476566053,22070073,2001-05-09,,2025-12-15 16:15:28
성지동물병원,306000001020010004,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 면목동 634-5,서울특별시 중랑구 면목로 311 (면목동),02238,453071.827543665,207683.608993998,,2001-05-31,,2025-12-15 16:15:28
금란동물병원,306000001020020003,3060000,영업/정상,정상,서울특별시,중랑구,중랑구,서울특별시 중랑구 망우동 364-27 금란동물병원,"서울특별시 중랑구 용마산로 532, 금란동물병원 (망우동)",02176,455130.344037856,208814.147876688,,2002-12-03,,2025-12-15 16:15:28
